cart,Record Count
"{""deathchoc"":1}",3
"{""mayong~s"":1}",3
"{""pbj"":1}",3
"{""redvelvet"":1}",2
"{""pbj"":1,""salt"":1}",2
"{""cupc"":1}",2
"{""hella"":1}",2
"{""redvelvet"":1,""bancheese~s"":1}",2
"{""matcha"":1}",1
"{""mamaog"":2,""doubletrouble"":1,""sexyback"":1,""claus"":1,""fudge"":4}",1
"{""sexyback"":1}",1
"{""cupc"":1,""babyog"":1}",1
"{""mayong~s"":1,""banultimate~s"":1}",1
"{""mamaog"":1}",1
"{""doubletrouble"":1}",1
"{""cupc"":1,""hella"":1,""babyog"":1,""mamaog"":1,""pistachio"":1}",1
"{""bannutella~s"":1,""mayong~s"":1}",1
"{""salt"":1,""bannutella~s"":1,""banultimate~s"":1,""bae"":2,""redbrownie"":2}",1
"{""cupc"":1,""salt"":1}",1
"{""pbj"":2}",1
"{""mamaog"":1,""babyog"":1,""sexyback"":1,""triplec"":1,""hella"":3,""peanut"":1}",1
"{""bannutella~s"":1}",1
"{""mamaog"":1,""matcha"":1,""triplec"":1}",1
"{""matcha"":1,""mayong~s"":1}",1
"{""deathchoc"":2,""redvelvet"":1,""salt"":1}",1
"{""pbj"":1,""banog~s"":1}",1
"{""bae"":4,""redbrownie"":5}",1
"{""redvelvet"":1,""triplec"":1,""matcha"":1,""sexyback"":1,""babyog"":1,""mamaog"":1}",1
"{""fudge"":9,""bae"":9}",1
"{""doubletrouble"":1,""matcha"":1}",1
"{""bancheese~s"":1,""cornflakes"":1}",1
"{""pbj"":1,""deathchoc"":1,""mayong~s"":1,""bancheese~s"":1}",1
"{""bannuts~s"":1}",1
"{""babyog"":1}",1
"{""banultimate~s"":1}",1
"{""pbj"":2,""banultimate~s"":1}",1
"{""matcha"":1,""redbrownie"":3}",1
"{""mamaog"":1,""banultimate~s"":1}",1
"{""mamaog"":2}",1
"{""fudge"":18}",1
"{""cornflakes"":2}",1
"{""cupc"":1,""deathchoc"":1}",1
"{""claus"":2,""mamaog"":4,""sexyback"":5,""cornflakes"":1}",1
"{""fudge"":7,""redbrownie"":2,""cornflakes"":1}",1
"{""mamaog"":3,""sexyback"":3,""babyog"":2,""triplec"":1,""matcha"":2,""doubletrouble"":1}",1
"{""deathchoc"":1,""hella"":1}",1
"{""pistachio"":2}",1
"{""hella"":1,""cupc"":1,""deathchoc"":1,""pbj"":1,""bancheese~s"":1,""banultimate~s"":1,""redvelvet"":2}",1
"{""hella"":1,""cupc"":1}",1
"{""mamaog"":1,""triplec"":1}",1
"{""cupc"":1,""hella"":1,""deathchoc"":1,""doubletrouble"":1}",1
"{""pbj"":1,""redvelvet"":1,""mayong~s"":1}",1
"{""cupc"":1,""sexyback"":1}",1
"{""bancheese~s"":1,""deathchoc"":1}",1
"{""banog~s"":1,""bannutella~s"":1}",1
"{""mayong~s"":1,""bancheese~s"":1,""pbj"":1,""cornflakes"":1}",1
"{""banultimate~s"":1,""mamaog"":1,""sexyback"":1}",1
