cart,Record Count
"{""pbj"":1}",3
"{""mamaog"":1}",2
"{""sexyback"":1}",2
"{""hella"":1}",2
"{""cupc"":1,""sexyback"":1,""matcha"":1}",1
"{""bannuts~s"":1}",1
"{""mayong~s"":1,""matcha"":1,""cornflakes"":1}",1
"{""bae"":6,""fudge"":6,""redbrownie"":6}",1
"{""salt"":1,""mayong~s"":1,""banog~s"":1}",1
"{""matcha"":1}",1
"{""babyog"":1}",1
"{""pbj"":1,""cupc"":1}",1
"{""sexyback"":3,""matcha"":2}",1
"{""banultimate~s"":1}",1
"{""claus"":1,""pistachio"":1,""matcha"":1,""mamaog"":1}",1
"{""cupc"":1,""bannutella~s"":1,""hella"":1}",1
"{""cornflakes"":1}",1
"{""pbj"":1,""triplec"":1}",1
"{""cornflakes"":1,""pistachio"":2,""claus"":1,""mamaog"":1}",1
"{""cupc"":1,""hella"":1,""mayong~s"":1,""bae"":5}",1
"{""sexyback"":2}",1
"{""deathchoc"":1}",1
"{""deathchoc"":1,""hella"":1}",1
"{""doubletrouble"":1,""sexyback"":1,""cornflakes"":1,""mamaog"":1,""triplec"":1}",1
"{""bae"":3,""redbrownie"":3,""fudge"":3}",1
"{""deathchoc"":1,""cupc"":1,""pbj"":1}",1
"{""mamaog"":1,""sexyback"":1,""babyog"":1}",1
"{""bancheese~s"":1}",1
"{""mamaog"":2,""sexyback"":3,""doubletrouble"":1,""babyog"":2,""matcha"":1,""cornflakes"":1,""claus"":1,""pistachio"":1}",1
"{""hella"":1,""deathchoc"":1,""mamaog"":1,""babyog"":1,""triplec"":1}",1
"{""redbrownie"":5,""fudge"":2,""bae"":2}",1
"{""mamaog"":1,""sexyback"":1}",1
"{""mayong~s"":1}",1
"{""cupc"":1,""deathchoc"":1,""salt"":1,""redvelvet"":1}",1
"{""banog~s"":1,""bannutella~s"":1}",1
"{""salt"":1}",1
