cart,Record Count
"{""triplec"":1,""doubletrouble"":1,""cornflakes"":1,""sexyback"":1,""mamaog"":1}",1
"{""strawcheese"":1}",1
"{""strawcheese"":1,""cupc"":1,""hella"":1}",1
"{""sexyback"":4,""triplec"":1,""cupc"":1}",1
"{""sexyback"":2}",1
"{""sexyback"":1}",2
"{""sexyback"":1,""mamaog"":1}",1
"{""sexyback"":1,""mamaog"":1,""matcha"":1}",1
"{""sexyback"":1,""cornflakes"":1}",1
"{""salt"":1}",1
"{""salt"":1,""redvelvet"":1,""sexyback"":1}",1
"{""salt"":1,""pbj"":2,""strawcheese"":1}",1
"{""redvelvet"":1}",5
"{""redvelvet"":1,""deathchoc"":1,""salt"":2,""babyog"":1}",1
"{""redvelvet"":1,""cornflakes"":1}",1
"{""redbrownie"":3,""fudge"":3,""bae"":3}",1
"{""peanut"":1}",1
"{""pbj"":1}",4
"{""pbj"":1,""sexyback"":1}",1
"{""pbj"":1,""cupc"":1,""deathchoc"":1}",1
"{""mayong~s"":2}",1
"{""mayong~s"":1}",2
"{""mayong~s"":1,""cupc"":1}",1
"{""mayong~s"":1,""bancheese~s"":1}",1
"{""matcha"":1}",2
"{""mamaog"":4,""sexyback"":3,""cornflakes"":3,""babyog"":3,""triplec"":3,""doubletrouble"":1}",1
"{""mamaog"":2}",1
"{""mamaog"":1}",9
"{""mamaog"":1,""sexyback"":1,""babyog"":1}",1
"{""mamaog"":1,""doubletrouble"":1,""sexyback"":1,""cornflakes"":1,""matcha"":1}",1
"{""mamaog"":1,""doubletrouble"":1,""babyog"":1}",1
"{""mamaog"":1,""cornflakes"":2,""babyog"":1,""sexyback"":1,""pbj"":1}",1
"{""mamaog"":1,""cornflakes"":1}",1
"{""hella"":3}",1
"{""hella"":1}",4
"{""hella"":1,""cupc"":1}",1
"{""hella"":1,""bancheese~s"":1}",1
"{""heart-S&redvelvet,white.pink"":1}",1
"{""fudge"":4,""redbrownie"":2,""bae"":3}",1
"{""fudge"":3,""bae"":3,""redbrownie"":3}",1
"{""fudge"":2,""doubletrouble"":2}",1
"{""fudge"":12,""redbrownie"":12,""bae"":12}",1
"{""doubletrouble"":2,""triplec"":1,""mamaog"":2,""babyog"":1,""mayong~s"":2,""banog~s"":1,""fudge"":9}",1
"{""doubletrouble"":1,""cornflakes"":1}",1
"{""deathchoc"":1}",1
"{""cupc"":1}",8
"{""cupc"":1,""redbrownie"":1}",1
"{""cupc"":1,""deathchoc"":1}",1
"{""cupc"":1,""deathchoc"":1,""pbj"":1}",1
"{""cupc"":1,""cornflakes"":1}",1
"{""cornflakes"":3,""banog~s"":1}",1
"{""cornflakes"":2,""triplec"":2,""sexyback"":3,""mamaog"":3,""matcha"":2}",1
"{""cornflakes"":1}",2
"{""cornflakes"":1,""sexyback"":1}",1
"{""cornflakes"":1,""sexyback"":1,""mamaog"":1,""hella"":1}",1
"{""banultimate~s"":1}",3
"{""banultimate~s"":1,""matcha"":1}",1
"{""banog~s"":1}",2
"{""bannutella~s"":1,""banultimate~s"":1,""cornflakes"":1,""sexyback"":1}",1
"{""bannutella~s"":1,""bancheese~s"":1}",1
"{""bancheese~s"":1}",2
"{""bancheese~s"":1,""cupc"":1}",1
"{""bancheese~s"":1,""bannuts~s"":1,""mayong~s"":1}",1
"{""babyog"":3,""cornflakes"":2,""mamaog"":2,""sexyback"":2,""doubletrouble"":1,""triplec"":1,""matcha"":1}",1
"{""babyog"":1}",1
"{""babyog"":1,""doubletrouble"":1,""mamaog"":1,""triplec"":1,""sexyback"":1,""hella"":3}",1
