cart,Record Count
"{""coconut-1lb"":1}",16
"{""chocpudding-1lb"":1}",10
"{""hella"":1}",10
"{""heart-set&redvelvet,ganache.pinkgold"":1}",9
"{""mayong~l"":1}",8
"{""cupccake-1lb"":1}",8
"{""heart-S&redvelvet.pink"":1}",7
"{""blackout-1lb"":1}",7
"{""deathchoccake-1lb"":1}",6
"{""mayong-1lb"":1}",5
"{""mayong~s"":2}",5
"{""cupc"":1}",4
"{""kiss-1lb"":1}",4
"{""berry-1lb"":1}",4
"{""banana-1lb"":1}",3
"{""cupccake-2lb"":1}",3
"{""mayong~s"":1}",3
"{""coconut_slice"":1,""carrot_slice"":1}",2
"{""cupc"":1,""deathchoc"":1}",2
"{""banana-2lb"":1}",2
"{""bancheese~s"":1}",2
"{""heart-S&ganache.gold"":1}",2
"{""banog~s"":1}",2
"{""banultimate~s"":1}",2
"{""deathcake"":1}",2
"{""carrot-1lb#dearest"":1}",2
"{""banana-1lb#flower"":1}",2
"{""chocpudding-1lb#extraferrero"":1}",2
"{""redvelvet"":1,""cupc"":1}",2
"{""chocpudding_slice"":1}",2
"{""hella"":1,""deathchoc"":1}",2
"{""ferrero-1lb"":1}",2
"{""coconut-2lb"":1}",2
"{""cupc"":2}",2
{},2
"{""care"":1}",2
"{""peanut"":1}",2
"{""mayong~s"":3}",2
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""wr60ji3ya2n"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""valrhona"":1}",1
