cart,Record Count
"{""mayong~l"":1}",17
"{""coconut-1lb"":1}",17
"{""chocpudding-1lb"":1}",15
"{""mayong-1lb"":1}",14
"{""hella"":1}",12
"{""heart-set&redvelvet,ganache.pinkgold"":1}",11
"{""berry-1lb"":1}",9
"{""cupc"":1}",7
"{""mayong~s"":1}",7
"{""heart-S&redvelvet.pink"":1}",7
"{""cupccake-1lb"":1}",7
"{""care"":1}",6
"{""coconut-2lb"":1}",6
"{""deathchoccake-1lb"":1}",6
"{""banana-1lb"":1}",5
"{""mayong~s"":2}",5
"{""kiss-1lb"":1}",5
"{""banana-2lb"":1}",4
"{""deathcake"":1}",4
"{""peanut"":1}",4
"{""mayong-2lb"":1}",4
"{""mayong~l"":2}",4
"{""blackout-1lb"":1}",4
"{""ferrero-1lb"":1}",4
"{""chocpudding-1lb#extraferrero"":1}",4
"{""kiss-1lb#dearest"":1}",4
"{""cupc"":1,""hella"":1}",3
"{""cupc"":2}",3
"{""chocpudding_slice"":1}",3
"{""heart-S&ganache.gold"":1}",3
"{""pbj"":2,""redvelvet"":1,""salt"":1}",3
"{""mayong~s"":4}",3
"{""cupccake-2lb"":1}",3
"{""blackout-2lb"":1}",3
"{""carrot-1lb"":1}",3
"{""hella"":1,""mayong~s"":1}",2
"{""hella"":1,""deathchoc"":1}",2
"{""cupc"":1,""deathchoc"":1}",2
"{""deathchoc"":1}",2
"{""mayong~s"":3}",2
"{""carrot-1lb#dearest"":1}",2
"{""banana-1lb#dearest"":1}",2
{},2
"{""banana-1lb#flower"":1}",2
"{""chocpudding-2lb"":1}",2
"{""redvelvet"":2}",2
"{""banultimate~l"":1}",2
"{""coconut_slice"":1,""carrot_slice"":1}",2
"{""banog~s"":1}",2
"{""banultimate~s"":1,""bancheese~s"":1}",2
"{""bancheese~s"":1}",2
"{""redvelvet"":1,""cupc"":1}",2
"{""banultimate~s"":1}",2
"{""kiss_slice"":2,""blackout_slice"":2,""bancheese~s"":0,""mayong~s"":0,""banana_slice"":1}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""mstv2vghtp"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""giftboxloaf"":[{""count"":""1"",""price"":675,""quantity"":1,""id"":""bjq7bzm11ub"",""DEATH BY CHOCOLATE PUDDING CAKE"":0,""BANANA CHEESE"":0,""BANANA NUTELLA "":0,""BANANA ULTIMATE COMBO"":1,""BANANA GOES NUTS"":0,""BANANA OG"":0,""MAYONGCHID CHEESEPIE"":0,""extra"":"""",""title"":""Small box of 1""}]}",1
"{""custom"":[{""title"":"" 1 lb Quarantine cup c cookie cake​*** ตกเเต่ง​เ​เบบ​ที่ 1 ***"",""price"":950,""quantity"":1,""id"":""ctuj5zhxwzv""}]}",1
"{""custom"":[{""title"":""เค้ก2​ ชั้นบน1ปอนด์​เป็น​ Red​ velvet​ ชั้นล่าง2ปอนด์​เป็น​ chocolate​ pudding​ ตกแต่งผีเสื้อ​"",""price"":4800,""quantity"":1,""id"":""nqy630idx6""}]}",1
"{""cake"":[{""count"":""8"",""price"":1640,""quantity"":1,""id"":""8rq0oeti877"",""BANANA NUTELLA"":2,""VERY BERRY BASQUE CHEESECAKE"":0,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":2,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":0,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""soft"":[{""count"":""0"",""price"":120,""quantity"":1,""id"":""a1h0bkmvv99"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":1,""FUDGE BROWNIE BITES"":2,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""valrhona"":2}",1
"{""cupc"":1,""bannutella~s"":1,""mayong~s"":1}",1
"{""chocpudding-1lb#extraferrero"":1,""chocpudding-2lb#extraferrero"":0}",1
"{""custom"":[{""title"":""Chocolate Pudding 1lb ตกแต่งหัวใจสีชมพู, มุกสีขาว และเชอร์รี่"",""price"":2000,""quantity"":1,""id"":""02n3kuwee7wg""}]}",1
"{""salt"":2,""redvelvet"":1,""mayong~s"":3}",1
"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""hmv15cqugpm"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""kiss_slice"":2,""chocpudding_slice"":1,""blackout_slice"":1}",1
"{""custom"":[{""title"":""1 lb Choc pudding cake​***ตกเเต่งรูป​หัวใจ​สีชมพู​ มุก เเละเชอร์รี่​***"",""price"":2000,""quantity"":1,""id"":""2hwt2v7npt3""}]}",1
"{""bancheese~s"":1,""banultimate~s"":1,""mayong~s"":1}",1
"{""gift"":[{""count"":""3"",""price"":1150,""quantity"":1,""id"":""xrnqeud4a59"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Medium bouquet of 3""}]}",1
"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""r0bw7xvax3"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""}],""hella"":1,""mayong~s"":1}",1
"{""cupc"":1,""mayong~s"":1}",1
"{""custom"":[{""title"":""Red velvet 1 lb ตกแต่ง Lady in Pink สีส้ม"",""price"":1800,""quantity"":0,""id"":""lj827kh8z1i""},{""title"":""Red velvet 1 lb ตกแต่ง Lady in Pink สีน้ำเงิน"",""price"":1800,""quantity"":1,""id"":""2768jxemfqi""}]}",1
"{""hella"":1,""mayong~s"":1,""deathcake"":1,""kiss_slice"":1,""carrot_slice"":1}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""pw14d75m3uj"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":12,""TRIPLE C"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""hella"":2,""pbj"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""vpt87pfv0pf"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""custom"":[{""title"":""2ปอนด์​ chocolate​ nutella​ ตกแต่ง​Lady​ in​ pink​ สีเหลือง​"",""price"":2800,""quantity"":1,""id"":""o8w94ape2xi""}]}",1
"{""hella"":1,""deathchoc"":1,""pbj"":1,""berry_slice"":1,""coconut_slice"":1}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""wr60ji3ya2n"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""valrhona"":1}",1
"{""pbj"":1,""mayong~s"":4}",1
"{""heart-S&redvelvet.gold"":1}",1
"{""custom"":[{""title"":""1 lb berry basque cheese​cake​*** ตกเเต่ง​ lady in pink สีชมพู​***"",""price"":1800,""quantity"":1,""id"":""82hc3c0vx8e""}]}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""2toq07axt9j"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""redvelvet"":2}",1
"{""salt"":1}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""5qf73qfcg18"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":12,""TRIPLE C"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""e0pi7gzgq0c"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""gift"":[{""count"":""3"",""price"":1150,""quantity"":1,""id"":""aapkm82za4h"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Medium bouquet of 3""}]}",1
"{""banana-1lb"":1,""blackout-1lb"":1}",1
"{""hella"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""wzrwlnhyb08"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""n1wxdlnlru"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""hella"":1,""salt"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""t74y1ar2m3"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""mayong-1lb"":1,""hella"":1}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""kav7ckbihn"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""custom"":[{""title"":""Lady in pink สีขาว / รสชาติมะพร้าว "",""price"":1800,""quantity"":1,""id"":""vpurfobxc8""}]}",1
"{""ferrero_slice"":1,""coconut_slice"":1,""berry_slice"":1,""cupc"":1,""pbj"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""9m8too4fe94"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""custom"":[{""title"":""23​ pistachio  70 oatmeal "",""price"":8370,""quantity"":0,""id"":""dtvkawobdcj""},{""title"":""1​ pistachio​ 2 oatmeal "",""price"":270,""quantity"":31,""id"":""udtasjnhvad""}]}",1
"{""pbj"":1,""hella"":2,""salt"":1,""soft"":[{""count"":""0"",""price"":80,""quantity"":1,""id"":""hccl095u36q"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":1,""FUDGE BROWNIE BITES"":1,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""redvelvet"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""a0wowbrs2mh"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""heart-S&ganache.gold"":1}",1
