cart,Record Count
"{""heart-S&redvelvet.pink"":1}",2
"{""chocpudding-1lb"":1}",2
"{""deathchoccake-1lb"":1}",1
"{""mayong-2lb"":0,""bancheese~s"":1,""bannutella~s"":1,""banultimate~s"":1}",1
"{""mayong~s"":1}",1
"{""custom"":[{""title"":""Carrot cream cheese 1lb ตกแต่ง Lady in Pink สีชมพูเข้ม"",""price"":1800,""quantity"":1,""id"":""r0lwn6kslw""}]}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""fqk5ppt5m3r"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""hella"":1}",1
"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""wrm2w6vsjqa"",""BAE BROWNIE"":2,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Large box of 8""}],""giftboxloaf"":[{""count"":""1"",""price"":675,""quantity"":1,""id"":""7ee2tjczk5j"",""DEATH BY CHOCOLATE PUDDING CAKE"":0,""BANANA CHEESE"":0,""BANANA NUTELLA "":1,""BANANA ULTIMATE COMBO"":0,""BANANA GOES NUTS"":0,""BANANA OG"":0,""MAYONGCHID CHEESEPIE"":0,""extra"":"""",""title"":""Small box of 1""}]}",1
"{""mayong-1lb"":1}",1
"{""bancheese~s"":2,""banog~s"":2,""bannuts~s"":1}",1
"{""bancheese~s"":2,""banultimate~s"":1,""bannutella~s"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":0,""id"":""7z1o97a404s"",""BAE BROWNIE"":5,""FUDGE BROWNIE BITES"":4,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""3h8swt7od4a"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""st3uz4p1e4g"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""extra"":"""",""title"":""Large box of 12""}],""banultimate~s"":1}",1
"{""hella"":0,""banog~s"":1}",1
"{""bannutella~s"":1,""mayong~s"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""nkzy6k1fopn"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""pbj"":0,""soft"":[{""count"":""0"",""price"":180,""quantity"":1,""id"":""t782bdxa6ws"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""banana-1lb#dearest"":0,""chocpudding-1lb#dearest"":1}",1
"{""salt"":3,""peanut"":2,""banultimate~s"":1}",1
"{""bancheese~s"":1,""banultimate~s"":1,""deathchoc"":1,""redvelvet"":1,""cupc"":1}",1
"{""pbj"":1,""salt"":1,""redvelvet"":1,""banultimate~s"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""au0o3wy1ic"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""hella"":1,""bannuts~s"":1,""bannutella~s"":1,""mayong~s"":1}",1
"{""kiss-1lb#dearest"":0,""kiss-2lb"":0,""mayong~s"":5,""custom"":[{""title"":""Strawberry kiss ตกแต่ง Lady in pink สีชมพูเข้ม 1 ปอนด์"",""price"":1800,""quantity"":1,""id"":""emtjdxubv4o""}]}",1
"{""hella"":3,""cupc"":3,""soft"":[{""count"":""0"",""price"":450,""quantity"":1,""id"":""jjgmgqgm9ls"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":5,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
