cart,Record Count
"{""mayong~l"":1}",3
"{""heart-set&redvelvet,ganache.pinkgold"":1}",2
"{""hella"":1,""deathchoc"":1,""pbj"":1,""salt"":2,""redvelvet"":1}",1
"{""mayong~s"":1}",1
"{""soft"":[{""count"":""0"",""price"":180,""quantity"":1,""id"":""dv7fwnz2ii9"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""deathchoc"":1,""bancheese~s"":1,""bannutella~s"":0,""cupc"":1,""banultimate~s"":1}",1
"{""chocpudding-2lb"":1}",1
"{""mayong-1lb"":1}",1
"{""mayong~s"":0,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""ee48nnlqxve"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""coconut_slice"":1,""kiss_slice"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""rjl515tors"",""BABY OG"":3,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""heart-M&ganache.gold"":2,""heart-M&redvelvet.pink"":1}",1
"{""heart-S&redvelvet.gold"":0,""heart-M&redvelvet.gold"":0,""heart-L&redvelvet.gold"":0,""heart-S&ganache.gold"":1}",1
"{""kiss-1lb"":1}",1
"{""cupc"":1}",1
"{""ladypink-3lb&kiss,ganache.blue"":1}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""6x66ijlinya"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":18,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""chocpudding-1lb#extraferrero"":1,""custom"":[{""title"":""Red​ velvet​ 1​ lb"",""price"":1500,""quantity"":1,""id"":""2ezf98ry9d6""}]}",1
"{""mayong~s"":1,""redvelvet"":1}",1
"{""mayong~s"":7,""banog~s"":1}",1
"{""mayong-1lb"":1,""mayong~s"":1,""bannutella~s"":1}",1
"{""mayong-2lb"":1}",1
"{""banultimate~l"":2}",1
"{""salt"":1,""redvelvet"":1,""hella"":1,""deathchoc"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""xoiyo9uwg9c"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""custom"":[{""title"":""Chocolate Caramel 2lb special decoration"",""price"":2700,""quantity"":1,""id"":""wrzem894mm""}]}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ucntv7dhmf"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""hhf53ga8t79"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""pbj"":1,""hella"":1,""bannutella~s"":1}",1
"{""berry-1lb"":1}",1
"{""bancheese~s"":1}",1
"{""redvelvet"":1,""hella"":1}",1
