datetime,long,cart,Record Count,shipping_price
"May 1, 2021",100.5920263,"{""deathcake"":0,""banog~s"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""lgfajulo6gd"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":4,""extra"":"""",""title"":""Small box of 9""}]}",1,68
"May 1, 2021",100.7794165,"{""redvelvet"":6,""hella"":6,""cookie"":[{""count"":""5"",""price"":450,""quantity"":6,""id"":""fr3po5ph86v"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""bannuts~s"":10,""banog~s"":6}",1,0
"May 1, 2021",100.6368823,"{""berry_slice"":1,""coconut_slice"":1,""ferrero_slice"":1,""banultimate~s"":1}",1,145
"May 1, 2021",100.727078,"{""gift"":[{""count"":""3"",""price"":1150,""quantity"":1,""id"":""vq3s8ua56u"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Medium bouquet of 3""}],""custom"":[{""title"":""Red velvet 1 lb "",""price"":1500,""quantity"":1,""id"":""r4v8wd8v61m""}]}",1,352
"May 1, 2021",100.6237513,"{""chocpudding-1lb#dearest"":1}",1,239
"May 1, 2021",100.5947752,"{""bannutella~l"":1}",1,72
"May 1, 2021",100.6258591,"{""cake"":[{""count"":""8"",""price"":1660,""quantity"":1,""id"":""o0d8l6fx5oq"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":1,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1,220
"May 1, 2021",100.4449771,"{""cupc"":19,""deathchoc"":18,""salt"":3}",1,0
"May 1, 2021",100.6513681,"{""coconut-1lb"":1}",1,262
"May 1, 2021",100.6153628,"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""63dqsks6rpy"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""salt"":1,""redvelvet"":1,""deathchoc"":1,""blackout_slice"":2,""coconut_slice"":2,""banana_slice"":1}",1,105
"May 1, 2021",100.5360062,"{""bancheese~l"":1}",1,177
"May 1, 2021",100.5716882,"{""mixedberry-1lb"":1,""bancheese~l"":1}",1,149
"May 1, 2021",100.6313569,"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""gbxas28o9a7"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""hella"":1,""cupc"":1,""deathchoc"":1,""redvelvet"":1}",1,107
"May 1, 2021",,"{""berry_slice"":1,""ferrero_slice"":1,""blackout_slice"":1}",1,0
"May 1, 2021",100.5523988,"{""giftboxloaf"":[{""count"":""4"",""price"":740,""quantity"":1,""id"":""49v7x854o9t"",""DEATH BY CHOCOLATE PUDDING CAKE"":0,""BANANA CHEESE"":1,""BANANA NUTELLA "":1,""BANANA ULTIMATE COMBO"":1,""BANANA GOES NUTS"":0,""BANANA OG"":1,""extra"":"""",""title"":""Large box of 4""}]}",1,0
"May 1, 2021",100.391155,"{""cake"":[{""count"":""8"",""price"":1620,""quantity"":1,""id"":""y7w8jgy3zcg"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":0,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":0,""STRAWBERRY KISS"":0,""BLACKOUT CHOCOLATE CAKE"":4,""extra"":"""",""title"":""Large box of 8""}]}",1,408
"May 1, 2021",100.5625923,"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""qlf1od4buc"",""BAE BROWNIE"":2,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Large box of 8""}],""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""0l1qledriav"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,50
"May 1, 2021",100.5419019,"{""deathcake"":1}",1,75
"May 1, 2021",,"{""redvelvet"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""sbuo5zsr4f"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":4,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,0
"May 1, 2021",100.5792337,"{""berry-2lb"":1,""blackout_slice"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""qzvjp5u2n1"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,238
"May 1, 2021",100.460299,"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""bsxvxxquq9"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""deathchoc"":1,""hella"":1,""ferrero_slice"":1}",1,167
"May 1, 2021",100.6157471,"{""hella"":2,""pbj"":2,""redvelvet"":1,""cupc"":2,""deathchoc"":2,""salt"":2,""valrhona"":1}",1,101
