datetime,cart,Record Count,total_price
"Jul 28, 2020",{},1269,0
"Jul 29, 2020","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""c7ew7e5twhg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""title"":""Small box of 5""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""3qrkguihvh5"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""title"":""Small box of 9""}],""cupc"":1,""salt"":1,""hella"":1}",1,1441
"Jul 29, 2020","{""redvelvet"":1,""hella"":1}",1,362
"Jul 31, 2020","{""cupccake-1lb"":1}",1,880
"Jul 31, 2020","{""hella"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""8lkrw0yp843"",""BAE BROWNIE"":9,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""title"":""Small box of 9""}]}",1,595
"Jul 31, 2020","{""cake"":[{""count"":""8"",""price"":1640,""quantity"":0,""id"":""qq2o650hfqj"",""BANANA NUTELLA"":2,""VERY BERRY BASQUE CHEESECAKE"":2,""CARROT CREAM CHEESE"":2,""CHOCOLATE PUDDING"":0,""YOUNG COCONUT CAKE"":2,""title"":""Large box of 8""},{""count"":""6"",""price"":1260,""quantity"":1,""id"":""btawnw4qh1i"",""BANANA NUTELLA"":2,""VERY BERRY BASQUE CHEESECAKE"":0,""CARROT CREAM CHEESE"":2,""CHOCOLATE PUDDING"":0,""YOUNG COCONUT CAKE"":2,""title"":""Double box of 6""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""0mcyffyout"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":1,""title"":""Small box of 5""}],""hella"":1,""cupc"":1,""berry_slice"":2}",1,2976
"Aug 1, 2020","{""carrot_slice"":1,""pbj"":1,""salt"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ubuol77tue"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""title"":""Small box of 9""}]}",1,957
"Aug 1, 2020","{""cupc"":1,""salt"":1}",1,434
"Aug 1, 2020","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":3,""id"":""gh0u8l4j0tk"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""ovnez3qnh7"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""title"":""Small box of 9""}]}",1,2280
"Aug 1, 2020","{""pbj"":1,""hella"":1,""cupc"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""xraj52m6ii"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""title"":""Small box of 9""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""6wrziayg7k"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""title"":""Small box of 5""}]}",1,1335
"Aug 1, 2020","{""hella"":1,""cupc"":1,""deathchoc"":1,""salt"":1}",1,600
"Aug 1, 2020","{""redvelvet"":2,""hella"":1,""cupc"":1,""deathchoc"":1,""salt"":1}",1,985
"Aug 1, 2020","{""deathchoc"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""w4ijh9l47xn"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""title"":""Small box of 9""}]}",1,510
"Aug 1, 2020","{""chocpudding_slice"":1,""hella"":1,""cupc"":1,""deathchoc"":1,""salt"":1}",1,820
"Aug 1, 2020","{""hella"":1,""cupc"":1,""deathcake"":0,""salt"":1,""deathchoc"":1}",1,726
"Aug 1, 2020","{""hella"":2,""pbj"":1}",1,540
"Aug 1, 2020","{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""swp8mdw9sxl"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":3,""MATCHA POWWOW"":2,""SEXY BACK"":2,""TRIPLE C"":3,""title"":""Large box of 12""},{""count"":""5"",""price"":450,""quantity"":1,""id"":""w95n1iehsz"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""title"":""Small box of 5""}]}",1,1607
"Aug 1, 2020","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""e642i5omm7s"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":3,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""title"":""Small box of 5""}]}",1,525
"Aug 1, 2020","{""pbj"":1,""hella"":1,""deathchoc"":1,""salt"":1,""redvelvet"":1,""cupc"":1}",1,900
"Aug 1, 2020","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""mghu8uccadr"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""title"":""Double box of 18""}]}",1,702
"Aug 1, 2020","{""redvelvet"":1,""salt"":1,""hella"":1}",1,535
"Aug 1, 2020","{""cupc"":1,""hella"":1,""deathchoc"":1,""pbj"":1}",1,764
"Aug 1, 2020","{""cupc"":1,""salt"":1,""hella"":1,""redvelvet"":1,""deathchoc"":1}",1,815
"Aug 1, 2020","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""c146qdeqme"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""title"":""Small box of 9""},{""count"":""18"",""price"":640,""quantity"":2,""id"":""vghhykd66t"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":18,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""title"":""Double box of 18""}]}",1,1640
"Aug 3, 2020","{""coconut_slice"":2,""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""ajrbsjjst7w"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""title"":""Double box of 18""}]}",1,1143
"Aug 3, 2020","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""huub2215aak"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""title"":""Small box of 9""}],""salt"":2}",1,888
"Aug 3, 2020","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""mrznny92nr9"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""title"":""Small box of 9""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""khjc7acgyl9"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":1,""title"":""Small box of 5""}]}",1,970
"Aug 3, 2020","{""berry-2lb"":1}",1,2500
"Aug 3, 2020","{""deathchoccake-1lb"":1,""chocpudding-1lb"":1}",1,2250
"Aug 3, 2020","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""qvcqvmsf4l8"",""BAE BROWNIE"":9,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""title"":""Small box of 9""}]}",1,360
"Aug 3, 2020","{""chocpudding-1lb"":1,""pbj"":1,""cupc"":1,""hella"":1,""redvelvet"":1,""deathchoc"":1}",1,2448
"Aug 3, 2020","{""cupc"":2,""salt"":2,""hella"":2}",1,1041
