datetime,cart,Record Count,total_price
"Jun 21, 2021","{""salt"":1}",1,212
"Jun 21, 2021","{""salt"":1,""blackout_slice"":1}",1,447
"Jun 21, 2021","{""custom"":[{""title"":""เค้กขนาด 1 ปอนด์ รสชาติ red velvet"",""price"":1500,""quantity"":1,""id"":""2bp5s08po6u""}]}",1,1650
"Jun 21, 2021","{""hella"":1,""cupc"":1,""deathchoc"":1,""banana_slice"":1}",1,971
"Jun 21, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""61l9lhgo3rd"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""cereal"":0}",1,450
"Jun 21, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""67hcymgs4e7"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":3,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,450
"Jun 21, 2021","{""care"":1}",3,4594
"Jun 21, 2021","{""cereal"":1,""bancheese~s"":2,""banultimate~s"":1}",1,630
"Jun 21, 2021","{""heart-set&redvelvet,ganache.pinkgold"":1,""banog~s"":3,""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""svx4aqt17w"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""e81r7u36q1d"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1,2732
"Jun 21, 2021","{""chocpudding-1lb"":1}",2,3444
"Jun 21, 2021","{""chocpudding-1lb#extraferrero"":1}",1,1854
"Jun 21, 2021","{""loveislove&mamaog,babyog,sexyback,doubletrouble,cereal,candy"":1}",1,685
"Jun 21, 2021","{""deathcake"":1}",1,849
"Jun 21, 2021","{""valrhona"":3,""candy"":0}",1,513
"Jun 21, 2021","{""hella"":3}",1,581
"Jun 21, 2021","{""berry-1lb"":1,""deathchoc"":1}",1,1925
"Jun 21, 2021","{""loveislove&chocolate"":0,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""lan505jdyw"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""redvelvet"":1,""banultimate~s"":1,""loveislove&mamaog,sexyback,doubletrouble,cornflakes,cereal,candy"":1}",1,1369
"Jun 21, 2021","{""coconut-1lb"":1}",1,2334
"Jun 21, 2021","{""peanut"":2}",1,300
"Jun 21, 2021","{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""4qwc1jm79mc"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":18,""extra"":"""",""title"":""Double box of 18""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""izbz6an39bp"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""}]}",1,1190
"Jun 21, 2021","{""banana-1lb"":1}",1,2207
"Jun 21, 2021","{""custom"":[{""title"":""1​ lb​ Red​ velvet​ ตกแต่ง​แบบ​ Lady​ in​ pink​ สีชมพู​"",""price"":1800,""quantity"":1,""id"":""5zn2ed0tc3s""}]}",1,2063
"Jun 21, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""1yomcbt1wt1"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""brownie"":[{""count"":""18"",""price"":640,""quantity"":2,""id"":""pr37u9db4i"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}],""cereal"":0}",1,1823
"Jun 21, 2021","{""deathcake"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""ivbbgnlrrik"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,1325
"Jun 21, 2021","{""candy"":0,""hella"":1,""deathchoc"":1}",1,300
"Jun 21, 2021","{""kiss-1lb"":1}",1,2383
"Jun 20, 2021","{""deathchoc"":1,""salt"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""m1ge8pepr"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1,965
"Jun 20, 2021","{""custom"":[{""title"":""1​ lb​ Red​ velvet​ ตกแต่ง​แบบ​ Lady​ in​ pink​ สีชมพู​"",""price"":1800,""quantity"":1,""id"":""jvbqdy900gh""}]}",1,1994
"Jun 20, 2021","{""heart-L&ganache.pink"":1}",1,2230
"Jun 20, 2021","{""heart-S&redvelvet.pink"":1}",1,680
"Jun 20, 2021","{""cupc"":1,""valrhona"":1}",1,336
