cart,Record Count
"{""heart-set&redvelvet,ganache.pinkgold"":1}",4
"{""custom"":[{""title"":""Banana bread ( combo )"",""price"":130,""quantity"":1,""id"":""pyuac5wjgkh""}]}",1
"{""custom"":[{""title"":""3 Banana​ bread (1​ banana​ cheese​ 1​ banana​ combo​ 1​ banana​ og)​"",""price"":410,""quantity"":1,""id"":""bpsbolwxhgc""}],""coconut_slice"":1,""blackout_slice"":1}",1
"{""redvelvet"":3,""deathchoc"":1}",1
"{""custom"":[{""title"":""2​ Banana​ bread (1​ banana​ cheese​ 1​ 1​ banana​ combo​ 1​)​"",""price"":280,""quantity"":1,""id"":""ysk66zdp17""}],""chocpudding-1lb#extraferrero"":0,""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""4rv390hnyvr"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":2,""SEXY BACK"":1,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""custom"":[{""title"":""1 Lb Young coconut cake​***ตกเเต่ง​ lady in pink เนืัอมะพร้าว​ด้านบน***"",""price"":2000,""quantity"":1,""id"":""wy0ovaz166l""},{""title"":""2 Banana bread ( 1 Banana  nutella​1 Banana goes nuts​ )​ "",""price"":260,""quantity"":1,""id"":""9lu4nyxfigk""}]}",1
"{""hella"":1,""custom"":[{""title"":""3 Banana​ bread (3​ banana​ nutella​ )​"",""price"":390,""quantity"":1,""id"":""qcpfpd490ci""}]}",1
"{""custom"":[{""title"":""Banana bread ( combo )"",""price"":130,""quantity"":1,""id"":""y7d6acabn4h""},{""title"":""Banana bread ( nutella )"",""price"":130,""quantity"":1,""id"":""2whfvnxb3r8""},{""title"":""Banana bread ( goes nuts )"",""price"":130,""quantity"":1,""id"":""1ybj56qnzex""}],""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""ws41ak2jvwd"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""redvelvet"":1,""strawcheese"":1}",1
"{""custom"":[{""title"":""Banana bread ( cheese)"",""price"":150,""quantity"":1,""id"":""xn7ftp1jfqs""}],""cupc"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""cadf5xubxyk"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""custom"":[{""title"":""Banana bread ( nutella )"",""price"":130,""quantity"":1,""id"":""zbi87xsdgp""},{""title"":""Banana bread ( Og )"",""price"":130,""quantity"":1,""id"":""bea3l5oiwyn""},{""title"":""Banana bread ( combo )"",""price"":130,""quantity"":1,""id"":""gy8hsyybxwp""}]}",1
