cart,Record Count
"{""mayong-1lb"":1}",4
"{""heart-set&redvelvet,ganache.pinkgold"":1}",4
"{""coconut-1lb"":1}",2
"{""mayong~s"":2}",2
"{""hella"":1,""cupc"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""gp7cwjkb0b4"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""bancheese~s"":4,""bannutella~s"":1,""banultimate~s"":2,""berry-1lb"":1,""redvelvet"":5,""brownie"":[{""count"":""18"",""price"":640,""quantity"":0,""id"":""ua2of1y43j"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""},{""count"":""18"",""price"":640,""quantity"":1,""id"":""64s23ulxom3"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":18,""extra"":"""",""title"":""Double box of 18""}],""bannuts~s"":2}",1
"{""salt"":0,""blackout-1lb"":1}",1
"{""mayong~s"":8,""banultimate~s"":1,""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""xgt4et8btd"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":4,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":3,""TRIPLE C"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""mayong-1lb"":1,""coconut_slice"":3,""blackout_slice"":1}",1
"{""cupc"":2,""hella"":1,""bancheese~s"":3,""mayong~s"":2,""banultimate~s"":1}",1
"{""coconut-1lb#dearest"":1}",1
"{""mayong~l"":1,""bancheese~l"":1,""banultimate~l"":1}",1
"{""kiss-1lb"":1,""kiss_slice"":0,""bannutella~s"":1}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""dwuwbtqijvm"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""mayong~s"":5}",1
"{""custom"":[{""title"":""Lady in Pink ด้านในเป็น Strawberry Kiss"",""price"":1800,""quantity"":0,""id"":""3mfuhq1ygpm""},{""title"":""1 lb Strawberry *** lady in pink with flowers ทรงสูง​***"",""price"":2300,""quantity"":1,""id"":""2hw89xuawva""}]}",1
"{""mayong-2lb"":1}",1
"{""kiss_slice"":1,""banana_slice"":1,""chocpudding_slice"":1,""berry_slice"":1,""carrot_slice"":1,""coconut_slice"":1}",1
"{""cake"":[{""count"":""8"",""price"":1660,""quantity"":1,""id"":""wzwo9xj38ds"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":1,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":1,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":1,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""coconut_slice"":8}",1
"{""cupc"":2,""carrot_slice"":1,""berry_slice"":1}",1
"{""cupc"":1,""pbj"":1}",1
"{""mayong~s"":1,""mayong~l"":2}",1
"{""mayong~s"":2,""mayong-1lb"":1}",1
