cart,Record Count
"{""mayong-1lb"":1}",9
"{""mayong~l"":1}",8
"{""chocpudding-1lb"":1}",8
"{""heart-set&redvelvet,ganache.pinkgold"":1}",5
"{""banana-1lb"":1}",4
"{""mayong~s"":1}",4
"{""cupccake-1lb"":1}",3
"{""mayong~s"":4}",3
"{""deathchoccake-1lb"":1}",3
"{""kiss-2lb"":1}",3
"{""care"":1}",3
"{""ferrero-1lb"":1}",3
"{""coconut-2lb"":1}",3
"{""mayong-2lb"":1}",3
"{""berry-1lb"":1}",3
"{""heart-S&ganache.gold"":1}",3
"{""coconut-1lb"":1}",2
"{""carrot-1lb"":1}",2
"{""pbj"":2,""redvelvet"":1,""salt"":1}",2
"{""kiss-1lb"":1}",2
"{""chocpudding-1lb#extraferrero"":1}",2
"{""banana-1lb#dearest"":1}",2
"{""custom"":[{""title"":""Chocolate Pudding 2 tiers (3lb) สี Royal Blue"",""price"":4500,""quantity"":0,""id"":""p1t0hrefari""},{""title"":""Chocolate Pudding 2 tiers ตกแต่ง Lady in Pink สี Royal Blue"",""price"":4500,""quantity"":1,""id"":""gch4j5gpi86""}]}",1
"{""ferrero_slice"":1,""coconut_slice"":1,""carrot_slice"":1,""berry_slice"":1}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""v4kmamnopda"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""b8oxxcze1fm"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""mayong~l"":1,""bannuts~s"":1}",1
"{""coconut-1lb"":0,""custom"":[{""title"":""เค้ก 2 ชั้น ฐาน Banana nutella 1/2 lb, ด้านบน Berry Cheese Cake 1lb"",""price"":3200,""quantity"":0,""id"":""68hcx8sy1gp""},{""title"":""เค้ก 2 ชั้น ฐานจะเป็น cheese cake 1 lb แล้ว ชั้นบนจะเป็น banana Nutella 1/2lb ค่ะ"",""price"":3500,""quantity"":0,""id"":""sv81pfi3cn9""},{""title"":""เค้ก 2 ชั้น ฐานจะเป็น cheese cake 1 lb แล้ว ชั้นบนจะเป็น banana Nutella 1/2lb ค่ะ "",""price"":3200,""quantity"":1,""id"":""jhamz72ao0j""}]}",1
"{""hella"":3}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""yiy82l8s7"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""custom"":[{""title"":""3 lb Dearest Mother เค้ก​2​ชั้น​  1 lb banana nutella 2 lb choc​ pudding cake​"",""price"":4500,""quantity"":1,""id"":""g9wh2fwm9v4""}]}",1
"{""heart-set&redvelvet,ganache.pinkgold"":5}",1
"{""carrot_slice"":3}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""ktpbdbi5o1"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":5,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":3,""TRIPLE C"":0,""extra"":"""",""title"":""Large box of 12""}],""mayong~s"":1}",1
"{""pbj"":1,""cupc"":1,""valrhona"":1}",1
"{""mayong~l"":1,""coconut-1lb"":1}",1
"{""bannutella~l"":1,""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""euffb1ijdx4"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""},{""count"":""5"",""price"":650,""quantity"":1,""id"":""n4pjbj2ns9f"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""extra"":"""",""title"":""Small box of 5""},{""count"":""5"",""price"":650,""quantity"":1,""id"":""5chg57fqrbs"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""2mw92uj0k7"",""BAE BROWNIE"":9,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""gefaxz5j47"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""bannutella~l"":1}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""f2se05ry02p"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""hella"":1,""mayong~s"":1}",1
