cart,Record Count
"{""mamaog"":1}",923
"{""hella"":1}",880
"{""cupc"":1}",851
"{""pbj"":1}",795
"{""doubletrouble"":1}",648
"{""deathchoc"":1}",631
"{""sexyback"":1}",590
"{""redvelvet"":1}",572
"{""salt"":1}",510
"{""matcha"":1}",266
"{""bae"":3,""redbrownie"":3,""fudge"":3}",263
"{""cornflakes"":1}",244
"{""triplec"":1}",201
"{""mamaog"":1,""sexyback"":1}",191
"{""babyog"":1}",174
"{""valrhona"":1}",161
"{""mamaog"":1,""doubletrouble"":1}",151
"{""peanut"":1}",140
"{""pistachio"":1}",99
"{""bae"":3,""fudge"":3,""redbrownie"":3}",87
"{""strawcheese"":1}",84
"{""claus"":1}",83
"{""sexyback"":1,""mamaog"":1}",80
"{""doubletrouble"":1,""mamaog"":1}",79
"{""mamaog"":2}",78
"{""hella"":1,""cupc"":1}",74
"{""cupc"":1,""hella"":1}",74
"{""cupc"":1,""pbj"":1}",70
"{""hella"":1,""pbj"":1}",69
"{""cupc"":1,""deathchoc"":1}",68
"{""doubletrouble"":2}",67
"{""hella"":2}",66
"{""mayong~s"":1}",63
"{""sexyback"":2}",61
"{""pbj"":1,""hella"":1}",61
"{""fudge"":1}",58
"{""banultimate~s"":1}",58
"{""mamaog"":1,""babyog"":1}",56
"{""pbj"":1,""cupc"":1}",54
"{""fudge"":3,""bae"":3,""redbrownie"":3}",52
"{""doubletrouble"":1,""sexyback"":1}",51
"{""salt"":1,""redvelvet"":1}",51
"{""mamaog"":1,""matcha"":1}",51
"{""hella"":1,""redvelvet"":1}",50
"{""redbrownie"":1}",50
"{""sexyback"":1,""doubletrouble"":1}",50
"{""cupc"":2}",49
"{""deathchoc"":1,""cupc"":1}",49
"{""cornflakes"":2}",49
"{""valrhona"":1,""peanut"":1}",49
"{""mamaog"":1,""triplec"":1}",47
"{""redvelvet"":1,""salt"":1}",46
"{""doubletrouble"":1,""matcha"":1}",45
"{""bae"":1}",45
"{""mamaog"":1,""cornflakes"":1}",45
"{""hella"":1,""deathchoc"":1}",44
"{""pbj"":2}",44
"{""deathchoc"":1,""pbj"":1}",43
"{""matcha"":1,""sexyback"":1}",42
"{""bancheese~s"":1}",42
"{""sexyback"":1,""cornflakes"":1}",41
"{""doubletrouble"":1,""triplec"":1}",41
"{""babyog"":1,""sexyback"":1}",38
"{""cupc"":1,""redvelvet"":1}",38
"{""heart-S&redvelvet,white.pink"":1}",37
"{""deathchoc"":1,""salt"":1}",37
"{""bannutella~s"":1}",36
"{""deathchoc"":1,""redvelvet"":1}",35
"{""pbj"":1,""redvelvet"":1}",35
"{""sexyback"":1,""babyog"":1}",35
"{""hella"":1,""salt"":1}",35
"{""pbj"":1,""deathchoc"":1}",35
"{""cupc"":1,""salt"":1}",34
"{""chocpudding_slice"":1}",34
"{""cornflakes"":1,""sexyback"":1}",34
"{""kiss_slice"":1}",33
"{""deathchoc"":2}",33
"{""salt"":1,""hella"":1}",33
"{""matcha"":2}",32
"{""banog~s"":1}",32
"{""bae"":1,""redbrownie"":1,""fudge"":1}",32
"{""pbj"":1,""sexyback"":1}",31
"{""sexyback"":1,""triplec"":1}",31
"{""sexyback"":1,""matcha"":1}",30
"{""bae"":6,""redbrownie"":6,""fudge"":6}",29
"{""redvelvet"":1,""hella"":1}",29
"{""pbj"":1,""salt"":1}",29
"{""cornflakes"":1,""doubletrouble"":1}",29
"{""redvelvet"":1,""deathchoc"":1}",29
"{""redvelvet"":1,""pbj"":1}",28
"{""matcha"":1,""mamaog"":1}",28
"{""matcha"":1,""doubletrouble"":1}",28
"{""heart-S&redvelvet,white.pink"":1,""hammer"":1}",27
"{""redvelvet"":1,""cupc"":1}",26
"{""pbj"":1,""mamaog"":1}",26
"{""fudge"":9}",26
"{""matcha"":1,""cornflakes"":1}",25
"{""fudge"":3,""redbrownie"":3,""bae"":3}",25
"{""deathchoc"":1,""hella"":1}",25
"{""cupc"":1,""sexyback"":1}",25
"{""triplec"":1,""sexyback"":1}",24
"{""salt"":1,""deathchoc"":1}",23
"{""salt"":1,""pbj"":1}",23
"{""redvelvet"":1,""sexyback"":1}",23
"{""hella"":1,""cornflakes"":1}",23
"{""hella"":1,""sexyback"":1}",23
"{""salt"":1,""cupc"":1}",23
"{""cornflakes"":1,""mamaog"":1}",22
"{""redbrownie"":3,""fudge"":3,""bae"":3}",22
"{""redbrownie"":9}",22
"{""claus"":1,""pistachio"":1}",22
"{""peanut"":1,""valrhona"":1}",21
"{""salt"":1,""sexyback"":1}",20
"{""fudge"":2}",20
"{""redvelvet"":1,""matcha"":1}",19
"{""bae"":1,""redbrownie"":1}",19
"{""mamaog"":1,""doubletrouble"":1,""sexyback"":1}",19
"{""redvelvet"":2}",19
"{""cornflakes"":1,""matcha"":1}",19
"{""hella"":1,""mamaog"":1}",19
"{""carrot_slice"":1}",18
"{""triplec"":1,""mamaog"":1}",18
"{""doubletrouble"":1,""babyog"":1}",18
"{""redbrownie"":2}",18
"{""fudge"":1,""bae"":1}",17
"{""doubletrouble"":1,""cornflakes"":1}",17
"{""pbj"":1,""matcha"":1}",17
"{""mamaog"":1,""babyog"":1,""sexyback"":1}",17
"{""bae"":1,""fudge"":1}",17
"{""salt"":2}",16
"{""deathchoc"":1,""mamaog"":1}",16
"{""bae"":6,""fudge"":6,""redbrownie"":6}",16
"{""pistachio"":1,""claus"":1}",16
"{""pbj"":1,""doubletrouble"":1}",16
"{""fudge"":1,""redbrownie"":1}",16
"{""babyog"":1,""mamaog"":1}",16
"{""cupc"":1,""mamaog"":1}",15
"{""berry_slice"":1}",15
"{""bannuts~s"":1}",15
"{""triplec"":1,""babyog"":1}",14
"{""redvelvet"":1,""cornflakes"":1}",14
"{""hella"":1,""doubletrouble"":1}",14
"{""redvelvet"":1,""doubletrouble"":1}",13
"{""deathchoc"":1,""doubletrouble"":1}",13
"{""blackout_slice"":1}",13
"{""mamaog"":1,""pistachio"":1}",13
"{""heart-S&ganache,dark.gold"":1,""hammer"":1}",13
"{""fudge"":3}",13
"{""heart-S&ganache,dark.gold"":1}",13
"{""bae"":5,""fudge"":4}",13
"{""ferrero_slice"":1}",12
"{""babyog"":1,""cornflakes"":1}",12
"{""mamaog"":1,""sexyback"":1,""matcha"":1}",12
"{""cornflakes"":1,""babyog"":1}",12
"{""triplec"":1,""doubletrouble"":1}",12
"{""mamaog"":1,""doubletrouble"":1,""babyog"":1,""triplec"":1,""sexyback"":1}",12
"{""salt"":1,""doubletrouble"":1}",12
"{""matcha"":1,""triplec"":1}",12
"{""sexyback"":2,""babyog"":1}",12
"{""deathchoc"":1,""sexyback"":1}",12
"{""fudge"":6,""bae"":6,""redbrownie"":6}",11
"{""babyog"":2}",11
"{""mamaog"":1,""sexyback"":1,""cornflakes"":1}",11
"{""cornflakes"":1,""triplec"":1}",11
"{""cupc"":1,""doubletrouble"":1}",11
"{""mamaog"":1,""sexyback"":1,""babyog"":1}",11
"{""mamaog"":1,""doubletrouble"":1,""triplec"":1}",11
"{""claus"":2}",11
"{""pbj"":1,""cornflakes"":1}",11
"{""redvelvet"":1,""mamaog"":1}",11
"{""matcha"":1,""babyog"":1}",11
"{""triplec"":1,""matcha"":1}",11
"{""mamaog"":1,""claus"":1}",11
"{""banana_slice"":1}",11
"{""salt"":1,""cornflakes"":1}",11
"{""redbrownie"":5,""fudge"":4}",11
"{""redbrownie"":1,""fudge"":1}",10
"{""cupc"":1,""hella"":1,""pbj"":1}",10
"{""bae"":4,""fudge"":5}",10
"{""redbrownie"":1,""bae"":1}",10
"{""cupc"":1,""cornflakes"":1}",10
"{""deathchoc"":1,""matcha"":1}",10
"{""mamaog"":1,""fudge"":1}",10
"{""babyog"":1,""matcha"":1}",10
"{""doubletrouble"":1,""mamaog"":1,""sexyback"":1}",10
"{""pistachio"":1,""mamaog"":1}",9
"{""babyog"":1,""doubletrouble"":1}",9
"{""triplec"":1,""cornflakes"":1}",9
"{""claus"":1,""sexyback"":1}",9
"{""pbj"":1,""babyog"":1}",9
"{""bae"":3,""redbrownie"":3,""fudge"":3,""hella"":1}",9
"{""bae"":1,""fudge"":1,""redbrownie"":1}",9
"{""mamaog"":1,""sexyback"":1,""doubletrouble"":1}",9
"{""hella"":1,""babyog"":1}",9
"{""hella"":3}",9
"{""doubletrouble"":1,""claus"":1}",9
"{""deathcake"":1}",9
"{""fudge"":1,""bae"":1,""redbrownie"":1}",9
"{""coconut_slice"":1}",9
"{""mamaog"":1,""sexyback"":1,""triplec"":1}",9
"{""pistachio"":2}",9
"{""pistachio"":1,""matcha"":1}",8
"{""fudge"":6,""redbrownie"":3}",8
"{""pbj"":3}",8
"{""mamaog"":3}",8
"{""doubletrouble"":1,""salt"":1}",8
"{""bae"":2}",8
"{""pbj"":1,""mamaog"":1,""sexyback"":1}",8
"{""bae"":9}",8
"{""fudge"":2,""bae"":1}",8
"{""cupc"":1,""babyog"":1}",8
"{""babyog"":1,""triplec"":1}",8
"{""strawcheese"":1,""hella"":1}",8
"{""cupc"":1,""claus"":1}",8
"{""claus"":1,""cornflakes"":1}",8
"{""bancheese~s"":1,""banultimate~s"":1}",8
"{""salt"":1,""mamaog"":1}",8
"{""doubletrouble"":1,""matcha"":1,""sexyback"":1}",8
"{""bancheese~s"":1,""mayong~s"":1}",7
"{""doubletrouble"":3}",7
"{""sexyback"":1,""matcha"":1,""mamaog"":1}",7
"{""mamaog"":1,""hella"":1}",7
"{""sexyback"":1,""pbj"":1}",7
"{""pbj"": 1}",7
"{""fudge"":6,""bae"":3}",7
"{""cupc"":1,""deathchoc"":1,""pbj"":1}",7
"{""matcha"":1,""pbj"":1}",7
"{""sexyback"":4,""triplec"":1}",7
"{""doubletrouble"":1,""sexyback"":1,""cornflakes"":1}",7
"{""bae"":2,""fudge"":2}",7
"{""sexyback"":1,""claus"":1}",7
"{""sexyback"":3}",7
"{""fudge"":2,""bae"":2}",7
"{""triplec"":2}",7
"{""strawcheese"":1,""redvelvet"":1}",7
"{""sexyback"":1,""mamaog"":1,""matcha"":1}",7
"{""fudge"":5,""bae"":4}",7
"{""mamaog"":1,""matcha"":1,""doubletrouble"":1}",7
"{""cornflakes"":1,""claus"":1}",7
"{""cupc"":1,""deathchoc"":1,""salt"":1}",7
"{""cupc"":2,""hella"":1}",7
"{""doubletrouble"":1,""triplec"":1,""mamaog"":1}",7
"{""mamaog"":2,""babyog"":1}",7
"{""mamaog"":1,""deathchoc"":1}",7
"{""strawcheese"":1,""deathchoc"":1}",7
"{""doubletrouble"":2,""mamaog"":2}",6
"{""cornflakes"":1,""matcha"":1,""sexyback"":1}",6
"{""fudge"":1,""bae"":1,""doubletrouble"":1}",6
"{""redbrownie"":3}",6
"{""sexyback"":1,""cupc"":1}",6
"{""banog~s"":1,""bannutella~s"":1}",6
"{""salt"":1,""triplec"":1}",6
"{""claus"":1,""babyog"":1}",6
"{""pbj"":2,""hella"":1}",6
"{""fudge"":1,""redbrownie"":1,""bae"":1}",6
"{""bae"":3,""redbrownie"":3,""fudge"":3,""mamaog"":1}",6
"{""hella"":2,""pbj"":1}",6
"{""mamaog"":2,""sexyback"":2}",6
"{""redbrownie"":5}",6
"{""hella"":1,""matcha"":1}",6
"{""cupc"":1,""matcha"":1}",6
"{""doubletrouble"":1,""pistachio"":1}",6
"{""sexyback"":1,""doubletrouble"":1,""mamaog"":1}",6
"{""cornflakes"":2,""sexyback"":1}",6
"{""mamaog"":1,""doubletrouble"":1,""matcha"":1}",6
"{""mamaog"":1,""pbj"":1}",6
"{""cupc"":1,""triplec"":1}",6
"{""matcha"":1,""pistachio"":1}",6
"{""hella"":1,""bae"":3,""redbrownie"":3,""fudge"":3}",6
"{""redvelvet"":1,""salt"":1,""hella"":1}",6
"{""deathchoc"": 1}",6
"{""bae"":2,""redbrownie"":2}",6
"{""pistachio"":1,""triplec"":1}",6
"{""peanut"":1,""salt"":1}",6
"{""redbrownie"":1,""fudge"":1,""bae"":1}",6
"{""pistachio"":1,""doubletrouble"":1}",6
"{""pbj"":1,""valrhona"":1}",6
"{""hella"":1,""mamaog"":1,""sexyback"":1}",6
"{""sexyback"":1,""pistachio"":1}",6
"{""mayong~s"":2}",6
"{""redbrownie"":4}",6
"{""sexyback"":1,""redvelvet"":1}",6
"{""hella"":1,""cupc"":1,""pbj"":1}",6
"{""valrhona"":1,""deathchoc"":1}",6
"{""matcha"":3}",6
"{""deathchoc"":3}",6
"{""pistachio"":1,""sexyback"":1}",6
"{""mamaog"":1,""triplec"":1,""sexyback"":1}",6
"{""mamaog"":2,""sexyback"":1}",6
"{""mamaog"":1,""cupc"":1}",6
"{""pbj"":1,""triplec"":1}",6
"{""cupc"":1,""valrhona"":1}",6
"{""matcha"":1,""cupc"":1}",6
"{""doubletrouble"":1,""sexyback"":1,""mamaog"":1}",6
"{""mamaog"":2,""doubletrouble"":1}",6
"{""deathchoc"":1,""cornflakes"":1}",6
"{""hella"":1,""cupc"":1,""deathchoc"":1}",6
"{""pbj"":1,""sexyback"":1,""matcha"":1}",6
"{""hella"":1,""pbj"":1,""cupc"":1}",5
"{""bae"":9,""redbrownie"":9,""fudge"":9}",5
"{""redbrownie"":2,""fudge"":2}",5
"{""salt"":1,""matcha"":1}",5
"{""matcha"":1,""redvelvet"":1}",5
"{""hella"":1,""cupc"":1,""salt"":1}",5
"{""mamaog"":1,""babyog"":1,""doubletrouble"":1}",5
"{""doubletrouble"": 1}",5
"{""mamaog"":1,""doubletrouble"":1,""babyog"":1,""sexyback"":1,""matcha"":1}",5
"{""salt"":1,""fudge"":1}",5
"{""mamaog"":2,""doubletrouble"":2,""babyog"":1}",5
"{""pbj"":1,""bae"":3,""redbrownie"":3,""fudge"":3}",5
"{""cupc"":1,""bae"":3,""redbrownie"":3,""fudge"":3}",5
"{""fudge"":6,""redbrownie"":6,""bae"":6}",5
"{""doubletrouble"":1,""hella"":1}",5
"{""hella"":1,""cupc"":1,""deathchoc"":1,""pbj"":1,""salt"":1,""redvelvet"":1}",5
"{""mamaog"":1,""cornflakes"":1,""doubletrouble"":1}",5
"{""valrhona"":2}",5
"{""doubletrouble"":1,""cupc"":1}",5
"{""doubletrouble"":1,""matcha"":1,""mamaog"":1}",5
"{""bae"":12,""redbrownie"":12,""fudge"":12}",5
"{""bae"":3,""redbrownie"":3,""fudge"":3,""matcha"":1}",5
"{""sexyback"":2,""mamaog"":1}",5
"{""sexyback"":1,""cornflakes"":1,""matcha"":1}",5
"{""pbj"":1,""strawcheese"":1}",5
"{""fudge"":9,""bae"":9}",5
"{""cornflakes"":1,""pistachio"":1}",5
"{""deathchoc"":1,""triplec"":1}",5
"{""redbrownie"":6,""bae"":3}",5
"{""peanut"":1,""hella"":1}",5
"{""deathchoc"":1,""fudge"":1}",5
"{""mamaog"":3,""sexyback"":2}",5
"{""fudge"":5,""redbrownie"":4}",5
"{""hella"":1,""deathchoc"":1,""pbj"":1}",5
"{""bae"":1,""mamaog"":1}",5
