datetime,cart,Record Count,total_price
"Jun 1, 2021, 3:28:54 AM","{""matcha"":1}",1,90
"Jun 1, 2021, 3:43:25 AM","{""hella"":1,""pbj"":1,""salt"":1,""cereal"":2,""mamaog"":1,""triplec"":1,""sexyback"":1}",1,980
"Jun 1, 2021, 4:23:02 AM","{""mamaog"":1,""doubletrouble"":1,""babyog"":1,""sexyback"":1,""cornflakes"":1}",1,450
"Jun 1, 2021, 5:18:38 AM","{""cupc"":1,""sexyback"":2,""mamaog"":1}",1,420
"Jun 1, 2021, 5:18:46 AM","{""redvelvet"":1,""triplec"":2,""doubletrouble"":1}",1,420
"Jun 1, 2021, 5:47:56 AM","{""babyog"":2,""doubletrouble"":2,""mamaog"":1,""redvelvet"":2}",1,750
"Jun 1, 2021, 5:48:19 AM","{""redbrownie"":9,""cupc"":2}",1,660
"Jun 1, 2021, 6:02:49 AM","{""matcha"":1,""babyog"":1,""mamaog"":1,""triplec"":1,""doubletrouble"":1}",1,450
"Jun 1, 2021, 6:12:58 AM","{""cornflakes"":6,""sexyback"":2,""matcha"":4}",1,990
"Jun 1, 2021, 6:45:19 AM","{""matcha"":1,""cupc"":1,""pbj"":1,""mamaog"":1}",1,480
"Jun 1, 2021, 6:58:45 AM","{""sexyback"":4,""triplec"":1}",1,450
"Jun 1, 2021, 7:04:42 AM","{""deathchoc"":1,""salt"":1}",1,300
"Jun 1, 2021, 7:13:42 AM","{""babyog"":1,""sexyback"":1}",1,180
"Jun 1, 2021, 7:57:26 AM","{""fudge"":9,""pbj"":1}",1,510
"Jun 1, 2021, 8:18:10 AM","{""hella"":2}",1,300
"Jun 1, 2021, 8:23:07 AM","{""mamaog"":1,""doubletrouble"":2,""triplec"":2}",1,450
"Jun 1, 2021, 8:30:23 AM","{""bae"":12,""redbrownie"":3,""fudge"":3,""cupc"":2,""deathchoc"":1,""hella"":1}",1,1240
"Jun 1, 2021, 8:30:40 AM","{""deathchoc"":1}",1,150
"Jun 1, 2021, 8:32:19 AM","{""babyog"":2,""cornflakes"":2,""doubletrouble"":2,""mamaog"":2,""sexyback"":2,""triplec"":2,""bae"":6,""redbrownie"":6,""fudge"":6}",1,1630
"Jun 1, 2021, 8:35:11 AM","{""bae"":1,""redbrownie"":1,""fudge"":1}",1,120
"Jun 1, 2021, 8:53:43 AM","{""doubletrouble"":2,""mamaog"":1}",1,270
"Jun 1, 2021, 9:00:34 AM","{""cornflakes"":1}",1,90
"Jun 1, 2021, 9:05:14 AM","{""redvelvet"":1}",1,150
"Jun 1, 2021, 9:09:35 AM","{""mamaog"":1,""cornflakes"":1}",1,180
"Jun 1, 2021, 9:20:52 AM","{""redvelvet"":1,""pbj"":1,""hella"":1}",1,450
"Jun 1, 2021, 9:32:12 AM","{""pbj"":1,""sexyback"":1}",1,240
"Jun 1, 2021, 9:32:25 AM","{""mamaog"":1,""doubletrouble"":1,""babyog"":1,""sexyback"":1,""matcha"":1}",1,450
"Jun 1, 2021, 9:40:34 AM","{""doubletrouble"":1,""sexyback"":1,""mamaog"":1,""cornflakes"":1}",1,360
"Jun 1, 2021, 9:49:25 AM","{""cupc"":4}",1,600
"Jun 1, 2021, 10:10:54 AM","{""babyog"":1}",1,90
"Jun 1, 2021, 10:11:20 AM","{""pbj"":1,""salt"":1,""mamaog"":2,""sexyback"":2,""babyog"":2,""triplec"":2,""doubletrouble"":2}",1,1200
"Jun 1, 2021, 10:23:55 AM","{""triplec"":1,""babyog"":1}",1,180
"Jun 1, 2021, 11:06:04 AM","{""deathchoc"":1,""salt"":1}",1,300
"Jun 1, 2021, 11:16:30 AM","{""sexyback"":1}",1,90
"Jun 1, 2021, 11:32:43 AM","{""cupc"":1,""hella"":1}",1,300
"Jun 1, 2021, 11:33:08 AM","{""hella"":1,""cupc"":1,""pbj"":1,""redvelvet"":1}",1,600
"Jun 1, 2021, 11:39:51 AM","{""pbj"":1,""babyog"":1}",1,240
"Jun 1, 2021, 12:04:53 PM","{""cornflakes"":1}",1,90
"Jun 1, 2021, 12:17:19 PM","{""matcha"":1,""cornflakes"":1}",1,180
"Jun 1, 2021, 12:54:27 PM","{""hella"":1}",1,150
"Jun 1, 2021, 1:10:17 PM","{""banultimate~s"":1,""doubletrouble"":1}",1,220
"Jun 1, 2021, 1:10:49 PM","{""triplec"":1,""babyog"":1,""sexyback"":2}",1,360
"Jun 2, 2021, 3:35:36 AM","{""sexyback"":1}",1,90
"Jun 2, 2021, 3:35:59 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"Jun 2, 2021, 4:14:02 AM","{""babyog"":2,""sexyback"":2,""matcha"":2,""cornflakes"":2,""doubletrouble"":2}",1,900
"Jun 2, 2021, 4:34:52 AM","{""deathchoc"":1}",1,150
"Jun 2, 2021, 4:58:31 AM","{""pbj"":1,""cupc"":1,""salt"":1,""deathchoc"":1,""redvelvet"":1,""hella"":1}",1,900
"Jun 2, 2021, 4:59:28 AM","{""deathchoc"":1}",1,150
"Jun 2, 2021, 4:59:35 AM","{""bae"":3,""redbrownie"":3,""fudge"":3,""redvelvet"":1,""deathchoc"":1}",1,660
"Jun 2, 2021, 4:59:45 AM","{""mamaog"":2}",1,180
"Jun 2, 2021, 5:07:05 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"Jun 2, 2021, 5:30:12 AM","{""sexyback"":1,""cornflakes"":1}",1,180
"Jun 2, 2021, 5:30:45 AM","{""hella"":1}",1,150
"Jun 2, 2021, 6:04:51 AM","{""doubletrouble"":2}",1,180
"Jun 2, 2021, 6:06:57 AM","{""sexyback"":1}",1,90
"Jun 2, 2021, 6:07:03 AM","{""cupc"":1}",1,150
"Jun 2, 2021, 6:24:59 AM","{""mamaog"":3,""triplec"":2}",1,450
"Jun 2, 2021, 6:42:57 AM","{""deathchoc"":1}",1,150
"Jun 2, 2021, 6:55:23 AM","{""sexyback"":1,""cornflakes"":1}",1,180
"Jun 2, 2021, 7:05:03 AM","{""hella"":1,""cupc"":1,""deathchoc"":1}",1,450
"Jun 2, 2021, 7:05:22 AM","{""mamaog"":1,""babyog"":1,""sexyback"":1,""cornflakes"":2}",1,450
"Jun 2, 2021, 7:17:01 AM","{""bannuts~s"":1,""sexyback"":1}",1,220
"Jun 2, 2021, 8:10:15 AM","{""pbj"":1,""mamaog"":1,""sexyback"":1,""matcha"":1}",1,420
"Jun 2, 2021, 8:10:30 AM","{""banultimate~s"":2}",1,260
"Jun 2, 2021, 8:22:10 AM","{""salt"":1}",1,150
"Jun 2, 2021, 8:34:46 AM","{""mamaog"":1,""doubletrouble"":1}",1,180
"Jun 2, 2021, 8:49:12 AM","{""sexyback"":1}",1,90
"Jun 2, 2021, 8:56:10 AM","{""bae"":1}",1,40
"Jun 2, 2021, 8:59:14 AM","{""bae"":4,""fudge"":9,""redbrownie"":5}",1,640
"Jun 2, 2021, 9:05:17 AM","{""mamaog"":1}",1,90
"Jun 2, 2021, 9:31:17 AM","{""mamaog"":1,""salt"":1}",1,240
"Jun 2, 2021, 10:06:57 AM","{""mamaog"":2,""matcha"":3,""doubletrouble"":1,""sexyback"":1}",1,630
"Jun 2, 2021, 10:13:17 AM","{""hella"":1,""doubletrouble"":1}",1,240
"Jun 2, 2021, 10:13:25 AM","{""salt"":1}",1,150
"Jun 2, 2021, 10:16:50 AM","{""cornflakes"":3}",1,270
"Jun 2, 2021, 10:54:42 AM","{""mamaog"":1,""sexyback"":1,""matcha"":1,""triplec"":1,""doubletrouble"":1}",1,450
"Jun 2, 2021, 10:54:55 AM","{""mamaog"":1,""sexyback"":1,""babyog"":1,""triplec"":1,""doubletrouble"":1}",1,450
"Jun 2, 2021, 11:02:06 AM","{""sexyback"":1,""mamaog"":1}",1,180
"Jun 2, 2021, 11:02:07 AM","{""deathchoc"":1,""bancheese~s"":1}",1,300
"Jun 2, 2021, 11:02:16 AM","{""mamaog"":1,""sexyback"":1,""redbrownie"":1}",1,220
"Jun 2, 2021, 11:02:27 AM","{""fudge"":4,""bae"":5}",1,360
"Jun 2, 2021, 11:36:45 AM","{""hella"":1}",1,150
"Jun 2, 2021, 11:36:57 AM","{""cupc"":1}",1,150
"Jun 2, 2021, 11:38:04 AM","{""mamaog"":2,""sexyback"":1,""triplec"":1,""doubletrouble"":1}",1,450
"Jun 2, 2021, 11:48:18 AM","{""pbj"":1,""matcha"":3,""doubletrouble"":2}",1,600
"Jun 2, 2021, 12:00:56 PM","{""mamaog"":1,""babyog"":1,""sexyback"":1,""doubletrouble"":1,""triplec"":1}",1,450
"Jun 2, 2021, 12:11:18 PM","{""hella"":5,""bannutella~s"":1,""bannuts~s"":1}",1,1010
"Jun 2, 2021, 12:17:24 PM","{""doubletrouble"":1}",1,90
"Jun 2, 2021, 12:26:37 PM","{""sexyback"":2}",1,180
"Jun 2, 2021, 12:26:56 PM","{""cupc"":1,""doubletrouble"":1}",1,240
"Jun 2, 2021, 12:26:58 PM","{""mamaog"":1}",1,90
"Jun 2, 2021, 12:42:40 PM","{""mamaog"":1,""triplec"":1}",1,180
"Jun 2, 2021, 12:49:30 PM","{""bancheese~s"":1}",1,150
"Jun 2, 2021, 1:22:57 PM","{""sexyback"":2,""mamaog"":1,""matcha"":1,""triplec"":1}",1,450
"Jun 2, 2021, 1:31:08 PM","{""cornflakes"":1}",1,90
"Jun 3, 2021, 2:35:41 AM","{""hella"":1,""deathchoc"":1,""pbj"":1}",1,450
"Jun 3, 2021, 3:41:41 AM","{""bae"":9,""fudge"":9}",1,640
"Jun 3, 2021, 3:42:12 AM","{""mamaog"":2}",1,180
"Jun 3, 2021, 3:42:46 AM","{""doubletrouble"":1,""matcha"":1,""bannutella~s"":1}",1,310
"Jun 3, 2021, 4:08:12 AM","{""sexyback"":2}",1,180
"Jun 3, 2021, 4:20:52 AM","{""pbj"":2}",1,300
"Jun 3, 2021, 4:26:41 AM","{""mamaog"":3,""cornflakes"":1,""matcha"":1}",1,450
"Jun 3, 2021, 4:33:52 AM","{""redvelvet"":1}",1,150
"Jun 3, 2021, 4:57:45 AM","{""cupc"":1}",1,150
"Jun 3, 2021, 5:03:19 AM","{""pbj"":2,""sexyback"":1}",1,390
"Jun 3, 2021, 5:03:45 AM","{""cupc"":1,""deathchoc"":1}",1,300
"Jun 3, 2021, 5:19:26 AM","{""bae"":3,""fudge"":3,""redbrownie"":3}",1,360
"Jun 3, 2021, 5:19:34 AM","{""hella"":1}",1,150
"Jun 3, 2021, 5:33:27 AM","{""doubletrouble"":1,""fudge"":8,""bae"":1}",1,450
"Jun 3, 2021, 5:40:00 AM","{""redvelvet"":1}",1,150
"Jun 3, 2021, 5:48:16 AM","{""triplec"":2}",1,180
"Jun 3, 2021, 5:48:36 AM","{""redbrownie"":18}",1,640
"Jun 3, 2021, 5:50:41 AM","{""cupc"":1}",1,150
"Jun 3, 2021, 6:07:43 AM","{""cornflakes"":1}",1,90
"Jun 3, 2021, 6:40:10 AM","{""hella"":1,""cupc"":1,""deathchoc"":1}",1,450
"Jun 3, 2021, 6:45:35 AM","{""mamaog"":1,""babyog"":1}",1,180
"Jun 3, 2021, 6:45:39 AM","{""babyog"":1}",1,90
"Jun 3, 2021, 6:45:47 AM","{""hella"":1}",1,150
"Jun 3, 2021, 6:57:42 AM","{""pbj"":1}",1,150
"Jun 3, 2021, 6:57:48 AM","{""deathchoc"":1,""salt"":1}",1,300
"Jun 3, 2021, 7:23:15 AM","{""mamaog"":1}",1,90
"Jun 3, 2021, 7:23:24 AM","{""banog~s"":1,""redvelvet"":1}",1,280
"Jun 3, 2021, 7:36:11 AM","{""doubletrouble"":1,""triplec"":1,""mamaog"":1,""babyog"":1,""matcha"":1}",1,450
"Jun 3, 2021, 7:37:35 AM","{""redvelvet"":1}",1,150
"Jun 3, 2021, 7:49:49 AM","{""deathchoc"":2}",1,300
"Jun 3, 2021, 7:50:40 AM","{""banultimate~s"":1}",1,130
"Jun 3, 2021, 7:56:10 AM","{""hella"":1,""cupc"":2,""pbj"":1,""bannuts~s"":1,""bannutella~s"":1}",1,860
"Jun 3, 2021, 7:56:21 AM","{""mamaog"":1,""babyog"":1,""sexyback"":1,""doubletrouble"":1,""cornflakes"":1}",1,450
"Jun 3, 2021, 7:56:27 AM","{""pbj"":1}",1,150
"Jun 3, 2021, 7:56:41 AM","{""redvelvet"":1}",1,150
"Jun 3, 2021, 7:59:54 AM","{""bae"":6,""redbrownie"":2,""doubletrouble"":1}",1,410
"Jun 3, 2021, 8:01:04 AM","{""hella"":1}",1,150
"Jun 3, 2021, 8:13:16 AM","{""fudge"":1,""matcha"":1,""mamaog"":1}",1,220
"Jun 3, 2021, 8:14:19 AM","{""banog~s"":1,""bannuts~s"":1}",1,260
"Jun 3, 2021, 8:14:32 AM","{""sexyback"":2,""mamaog"":1}",1,270
"Jun 3, 2021, 8:21:47 AM","{""mamaog"":1}",1,90
"Jun 3, 2021, 8:21:53 AM","{""cupc"":1}",1,150
"Jun 3, 2021, 8:32:45 AM","{""sexyback"":2,""babyog"":1,""triplec"":1,""matcha"":1}",1,450
"Jun 3, 2021, 8:33:03 AM","{""triplec"":1}",1,90
"Jun 3, 2021, 8:33:13 AM","{""salt"":1}",1,150
"Jun 3, 2021, 8:34:33 AM","{""bae"":5,""redbrownie"":4,""bancheese~s"":1,""sexyback"":1,""mamaog"":1,""matcha"":1}",1,780
"Jun 3, 2021, 8:40:38 AM","{""triplec"":1,""sexyback"":2}",1,270
"Jun 3, 2021, 8:55:24 AM","{""matcha"":1,""babyog"":1}",1,180
"Jun 3, 2021, 8:55:30 AM","{""redvelvet"":1}",1,150
"Jun 3, 2021, 8:56:38 AM","{""bae"":1}",1,40
"Jun 3, 2021, 9:02:43 AM","{""pbj"":1,""salt"":1}",1,300
"Jun 3, 2021, 9:18:42 AM","{""matcha"":2,""cornflakes"":1}",1,270
"Jun 3, 2021, 9:27:43 AM","{""mamaog"":1}",1,90
"Jun 3, 2021, 9:27:47 AM","{""cornflakes"":1}",1,90
"Jun 3, 2021, 9:34:12 AM","{""matcha"":1}",1,90
"Jun 3, 2021, 9:42:39 AM","{""bancheese~s"":1}",1,150
"Jun 3, 2021, 9:43:04 AM","{""hella"":1}",1,150
"Jun 3, 2021, 9:55:37 AM","{""pbj"":1}",1,150
"Jun 3, 2021, 9:59:48 AM","{""salt"":1,""redvelvet"":1}",1,300
"Jun 3, 2021, 10:09:47 AM","{""mamaog"":1,""doubletrouble"":2,""triplec"":2,""bae"":3,""fudge"":6,""banog~s"":2}",1,1070
"Jun 3, 2021, 10:13:34 AM","{""mamaog"":1}",1,90
"Jun 3, 2021, 10:15:02 AM","{""redbrownie"":2,""bannuts~s"":1}",1,210
"Jun 3, 2021, 10:22:28 AM","{""cornflakes"":1}",1,90
"Jun 3, 2021, 10:27:37 AM","{""doubletrouble"":1,""babyog"":1,""sexyback"":1}",1,270
"Jun 3, 2021, 10:32:15 AM","{""bae"":1,""redbrownie"":1,""fudge"":1}",1,120
"Jun 3, 2021, 10:33:33 AM","{""pbj"":1,""sexyback"":1,""cornflakes"":1}",1,330
"Jun 3, 2021, 10:39:40 AM","{""fudge"":1}",1,40
"Jun 3, 2021, 11:04:14 AM","{""cupc"":1}",1,150
"Jun 3, 2021, 11:13:35 AM","{""cupc"":1,""doubletrouble"":2}",1,330
"Jun 3, 2021, 11:19:23 AM","{""cereal"":2,""candy"":2}",1,520
"Jun 3, 2021, 11:21:50 AM","{""doubletrouble"":1,""cornflakes"":1}",1,180
"Jun 3, 2021, 11:22:04 AM","{""cupc"":1}",1,150
"Jun 3, 2021, 11:25:34 AM","{""cornflakes"":1,""sexyback"":1}",1,180
"Jun 3, 2021, 11:25:42 AM","{""sexyback"":1}",1,90
"Jun 3, 2021, 11:35:10 AM","{""deathchoc"":1}",1,150
"Jun 3, 2021, 11:42:56 AM","{""sexyback"":1}",1,90
"Jun 3, 2021, 11:43:03 AM","{""matcha"":1}",1,90
"Jun 3, 2021, 11:43:19 AM","{""sexyback"":2,""mamaog"":1,""cornflakes"":1,""triplec"":1}",1,450
"Jun 3, 2021, 11:43:59 AM","{""cornflakes"":2}",1,180
"Jun 3, 2021, 11:56:28 AM","{""cupc"":1,""salt"":1}",1,300
"Jun 3, 2021, 12:05:55 PM","{""sexyback"":1,""babyog"":1,""mamaog"":1}",1,270
"Jun 3, 2021, 12:10:55 PM","{""bannutella~s"":1}",1,130
"Jun 3, 2021, 12:18:20 PM","{""redbrownie"":4,""mamaog"":2,""babyog"":1,""cornflakes"":1,""doubletrouble"":1}",1,610
"Jun 3, 2021, 12:38:47 PM","{""deathchoc"":1}",1,150
"Jun 3, 2021, 12:45:14 PM","{""mamaog"":1}",1,90
"Jun 3, 2021, 12:46:25 PM","{""banultimate~s"":1}",1,130
"Jun 3, 2021, 12:47:17 PM","{""sexyback"":1,""mamaog"":1}",1,180
"Jun 3, 2021, 1:00:02 PM","{""mamaog"":2}",1,180
"Jun 3, 2021, 1:04:40 PM","{""sexyback"":1,""matcha"":1}",1,180
"Jun 3, 2021, 1:43:21 PM","{""pbj"":1}",1,150
"Jun 3, 2021, 1:43:32 PM","{""cornflakes"":2}",1,180
"Jun 3, 2021, 1:47:15 PM","{""redvelvet"":1,""mamaog"":1}",1,240
"Jun 4, 2021, 3:48:52 AM","{""cupc"":1,""pbj"":1,""hella"":1}",1,450
"Jun 4, 2021, 3:49:19 AM","{""doubletrouble"":1,""babyog"":1,""triplec"":1,""sexyback"":1,""mamaog"":1}",1,450
"Jun 4, 2021, 5:10:56 AM","{""bae"":3,""fudge"":3,""redbrownie"":3}",1,360
"Jun 4, 2021, 6:17:03 AM","{""bannutella~s"":1}",1,130
"Jun 4, 2021, 6:17:26 AM","{""redbrownie"":2,""bae"":3,""fudge"":4}",1,360
"Jun 4, 2021, 6:34:53 AM","{""mamaog"":1,""sexyback"":1}",1,180
"Jun 4, 2021, 6:35:32 AM","{""hella"":2,""triplec"":1}",1,390
"Jun 4, 2021, 6:44:33 AM","{""cupc"":1}",1,150
"Jun 4, 2021, 6:52:31 AM","{""banog~s"":3}",1,390
"Jun 4, 2021, 6:55:46 AM","{""salt"":1}",1,150
"Jun 4, 2021, 7:19:03 AM","{""doubletrouble"":1,""mamaog"":1}",1,180
"Jun 4, 2021, 7:19:22 AM","{""cupc"":1,""pbj"":1,""redvelvet"":1}",1,450
"Jun 4, 2021, 7:40:18 AM","{""redbrownie"":3,""fudge"":3,""bae"":3}",1,360
"Jun 4, 2021, 8:02:10 AM","{""deathchoc"":1,""pbj"":1,""salt"":0,""redvelvet"":1,""doubletrouble"":1,""sexyback"":1,""cornflakes"":1}",1,720
"Jun 4, 2021, 8:02:15 AM","{""cupc"":1}",1,150
"Jun 4, 2021, 8:08:07 AM","{""doubletrouble"":1,""mamaog"":1,""babyog"":1,""triplec"":1,""sexyback"":1,""matcha"":1,""cornflakes"":1}",1,630
"Jun 4, 2021, 8:20:15 AM","{""mamaog"":1}",1,90
"Jun 4, 2021, 8:39:16 AM","{""pbj"":1}",1,150
"Jun 4, 2021, 8:59:28 AM","{""cupc"":1,""babyog"":1,""sexyback"":1}",1,330
"Jun 4, 2021, 9:21:39 AM","{""doubletrouble"":1,""sexyback"":1,""salt"":1}",1,330
