datetime (Date),cart,Record Count
"Jul 1, 2021","{""sexyback"":1,""mamaog"":1}",1
"Jul 1, 2021","{""doubletrouble"":2,""cornflakes"":1,""redbrownie"":9}",1
"Jul 1, 2021","{""salt"":1}",1
"Jul 1, 2021","{""fudge"":9}",1
"Jul 1, 2021","{""cornflakes"":4}",1
"Jul 1, 2021","{""sexyback"":1,""matcha"":1,""hella"":1}",1
"Jul 1, 2021","{""pbj"":1,""salt"":1}",1
"Jul 1, 2021","{""redbrownie"":2}",1
"Jul 1, 2021","{""cornflakes"":1,""mamaog"":1,""matcha"":1,""triplec"":1,""sexyback"":1}",1
"Jul 1, 2021","{""giftbox"":1}",1
"Jul 1, 2021","{""sexyback"":1,""cornflakes"":1}",1
"Jul 1, 2021","{""banog~s"":1}",1
"Jul 1, 2021","{""bannutella~s"":1,""banog~s"":1}",1
"Jul 1, 2021","{""salt"":1,""pbj"":1,""redbrownie"":9}",1
"Jul 1, 2021","{""doubletrouble"":2,""mamaog"":1,""triplec"":1,""sexyback"":1,""cornflakes"":1}",1
"Jul 1, 2021","{""mamaog"":3,""doubletrouble"":2}",1
"Jul 1, 2021","{""mamaog"":1}",4
"Jul 1, 2021","{""sexyback"":1}",1
"Jul 1, 2021","{""matcha"":1,""cornflakes"":1,""mamaog"":1,""sexyback"":1,""doubletrouble"":1,""cupc"":1,""redvelvet"":1,""salt"":1}",1
"Jul 1, 2021","{""mamaog"":1,""babyog"":1}",1
"Jul 1, 2021","{""banultimate~s"":1,""mamaog"":1,""sexyback"":1,""cupc"":1}",1
"Jul 1, 2021","{""mamaog"":1,""doubletrouble"":1,""banultimate~s"":1}",1
"Jul 1, 2021","{""pbj"":1}",1
"Jul 1, 2021","{""mamaog"":1,""sexyback"":1,""babyog"":1,""triplec"":1,""doubletrouble"":1}",1
"Jul 1, 2021","{""cornflakes"":2}",1
"Jul 1, 2021","{""sexyback"":2}",1
"Jul 1, 2021","{""mamaog"":1,""doubletrouble"":1}",1
"Jul 1, 2021","{""doubletrouble"":1,""mamaog"":1}",1
"Jul 1, 2021","{""mamaog"":1,""hella"":1}",1
"Jul 1, 2021","{""deathchoc"":1}",3
"Jul 1, 2021","{""bannutella~s"":1,""sexyback"":1}",1
"Jul 1, 2021","{""cupc"":1,""pbj"":1}",1
"Jul 1, 2021","{""doubletrouble"":1}",1
"Jul 1, 2021","{""hella"":1}",4
"Jul 1, 2021","{""doubletrouble"":1,""mamaog"":1,""sexyback"":1,""cornflakes"":1,""matcha"":1}",1
"Jul 1, 2021","{""mamaog"":2}",1
"Jul 1, 2021","{""triplec"":1}",1
"Jul 1, 2021","{""matcha"":1,""mamaog"":1,""doubletrouble"":1}",1
"Jul 1, 2021","{""hella"":1,""cupc"":1}",1
"Jun 30, 2021","{""redbrownie"":1}",1
"Jun 30, 2021","{""sexyback"":1,""triplec"":1}",1
"Jun 30, 2021","{""sexyback"":1,""doubletrouble"":1}",1
