cart,Record Count
"{""coconut-1lb"":1}",9
"{""chocpudding-1lb"":1}",8
"{""mayong-1lb"":1}",6
"{""heart-set&redvelvet,ganache.pinkgold"":1}",6
"{""berry-1lb"":1}",4
"{""mayong~l"":1}",4
"{""mayong~s"":1}",3
"{""kiss-1lb"":1}",3
"{""banultimate~s"":1}",3
"{""mayong~s"":2}",3
"{""cupccake-1lb"":1}",3
"{""pbj"":1}",3
"{""chocpudding-2lb"":1}",2
"{""bancheese~s"":1}",2
"{""bannutella~s"":1}",2
"{""cupc"":1,""redvelvet"":1}",2
"{""chocpudding-1lb#extraferrero"":1}",2
"{""cupc"":1,""deathchoc"":1,""redvelvet"":1}",2
"{""carrot_slice"":1,""berry_slice"":1}",1
"{""deathcake"":1}",1
"{""bannutella~s"":1,""mayong~s"":1}",1
"{""banultimate~l"":2}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""39z56d1fqzg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""pbj"":1,""hella"":1,""bannutella~s"":1}",1
"{""ferrero-1lb"":1}",1
"{""custom"":[{""title"":"" 3 lb Dearest Mother เค้ก 2 ชั้น​  1 lb choc pudding cake 2 lb banana nutella​"",""price"":4500,""quantity"":1,""id"":""minuajxfr2""}]}",1
"{""blackout-1lb"":1,""custom"":[{""title"":""Strawberry​ kiss​ 1lb​ ตกแต่ง​lady​ in​ pink​ ทรงสูงสีชมพู​"",""price"":2300,""quantity"":1,""id"":""xgamcv6k49""}]}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""t5a84avxm6k"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""mayong~l"":5}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""ucntv7dhmf"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""heart-S&ganache.gold"":1}",1
