cart,Record Count
"{""valrhona"":1}",1
"{""triplec"":1}",1
"{""sexyback"":2}",1
"{""sexyback"":2,""banog~s"":1}",1
"{""sexyback"":1}",4
"{""sexyback"":1,""mamaog"":1,""babyog"":1,""triplec"":1,""cornflakes"":1}",1
"{""sexyback"":1,""babyog"":1,""mamaog"":1,""triplec"":1}",1
"{""salt"":1}",4
"{""salt"":1,""redvelvet"":1}",1
"{""redvelvet"":1}",2
"{""redvelvet"":1,""salt"":1}",1
"{""redvelvet"":1,""pbj"":1}",1
"{""redvelvet"":1,""matcha"":1,""sexyback"":1}",1
"{""redbrownie"":9}",2
"{""redbrownie"":7,""bae"":2}",1
"{""redbrownie"":3,""bae"":3,""fudge"":3,""banog~s"":1,""bancheese~s"":1}",1
"{""pistachio"":1,""doubletrouble"":4,""triplec"":1,""matcha"":4,""sexyback"":2,""bannutella~s"":1}",1
"{""pistachio"":1,""claus"":1}",1
"{""pistachio"":1,""bannuts~s"":1}",1
"{""pbj"":2,""matcha"":1}",1
"{""pbj"":1}",8
"{""pbj"":1,""salt"":1}",1
"{""pbj"":1,""hella"":1}",1
"{""mayong~s"":1}",4
"{""mayong~s"":1,""redvelvet"":1,""triplec"":1,""sexyback"":1}",1
"{""mayong~s"":1,""pbj"":1,""banultimate~s"":1}",1
"{""mayong~l"":1}",1
"{""matcha"":1}",3
"{""matcha"":1,""redvelvet"":1}",1
"{""matcha"":1,""mamaog"":1}",2
"{""matcha"":1,""cornflakes"":1}",1
"{""mamaog"":3,""doubletrouble"":1,""pistachio"":1,""bannuts~s"":1}",1
"{""mamaog"":2,""sexyback"":1,""cornflakes"":1}",1
"{""mamaog"":2,""sexyback"":1,""babyog"":1,""doubletrouble"":1}",1
"{""mamaog"":1}",5
"{""mamaog"":1,""triplec"":1,""banog~s"":1}",1
"{""mamaog"":1,""sexyback"":1}",1
"{""mamaog"":1,""matcha"":1,""redvelvet"":1}",1
"{""mamaog"":1,""doubletrouble"":5,""matcha"":1,""sexyback"":1}",1
"{""mamaog"":1,""deathchoc"":1}",1
"{""mamaog"":1,""banog~s"":1}",1
"{""mamaog"":1,""babyog"":1}",1
"{""hella"":3,""pbj"":2,""salt"":1}",1
"{""hella"":1}",6
"{""hella"":1,""salt"":1,""fudge"":9}",1
"{""hella"":1,""salt"":1,""bae"":3,""fudge"":3,""redbrownie"":3}",1
"{""hella"":1,""cupc"":1,""pbj"":1,""cornflakes"":1,""babyog"":1,""sexyback"":1}",1
"{""hella"":1,""claus"":3}",1
"{""hella"":1,""bannutella~s"":1}",1
"{""fudge"":9}",1
"{""fudge"":5,""bae"":4,""mayong~s"":1}",1
"{""fudge"":1,""redbrownie"":1,""hella"":1,""redvelvet"":1,""bancheese~s"":1,""cornflakes"":1}",1
"{""fudge"":1,""hella"":1,""pbj"":1}",1
"{""doubletrouble"":1}",2
"{""doubletrouble"":1,""mamaog"":1}",1
"{""deathchoc"":1}",2
"{""deathchoc"":1,""sexyback"":1}",1
"{""deathchoc"":1,""salt"":1}",1
"{""deathchoc"":1,""pbj"":1}",1
"{""deathchoc"":1,""hella"":1,""cupc"":1}",1
"{""deathchoc"":1,""cupc"":1,""bae"":3,""redbrownie"":6}",1
"{""deathchoc"":1,""cornflakes"":1,""mamaog"":1}",1
"{""cupc"":2,""hella"":1,""salt"":1}",1
"{""cupc"":1}",1
"{""cupc"":1,""hella"":1,""deathchoc"":1,""mamaog"":1,""doubletrouble"":1,""cornflakes"":2,""mayong~s"":1}",1
"{""cupc"":1,""fudge"":2,""redbrownie"":1}",1
"{""cupc"":1,""banultimate~s"":1}",1
"{""cornflakes"":1,""bannutella~s"":1}",1
"{""claus"":1}",1
"{""banultimate~s"":1}",4
"{""banultimate~s"":1,""sexyback"":1}",1
"{""banultimate~s"":1,""pbj"":1,""doubletrouble"":1}",1
"{""banultimate~s"":1,""deathchoc"":1,""pbj"":1,""salt"":1,""redvelvet"":1}",1
"{""bannutella~s"":1}",1
"{""bannutella~s"":1,""mayong~s"":1,""doubletrouble"":1}",1
"{""bannutella~s"":1,""hella"":1,""salt"":1,""bae"":9,""giftbox"":0}",1
"{""bannutella~s"":1,""bannuts~s"":1,""cupc"":1}",1
"{""bancheese~s"":1,""mayong~s"":1,""salt"":1,""redvelvet"":1,""pistachio"":1,""sexyback"":1}",1
"{""bancheese~s"":1,""banog~s"":1,""mayong~s"":1,""bae"":5,""redbrownie"":4}",1
"{""bancheese~s"":1,""bannuts~s"":1,""mamaog"":3,""doubletrouble"":2}",1
"{""bae"":6,""fudge"":6,""redbrownie"":6,""sexyback"":1,""mamaog"":2,""matcha"":2}",1
"{""bae"":1,""redbrownie"":1,""fudge"":1}",1
"{""babyog"":2,""mamaog"":1,""doubletrouble"":1,""triplec"":1}",1
"{""babyog"":1}",1
"{""babyog"":1,""sexyback"":1}",1
"{""babyog"":1,""sexyback"":1,""mamaog"":1,""bae"":1,""fudge"":2}",1
"{""babyog"":1,""mayong~s"":1}",1
"{""babyog"":1,""matcha"":1}",1
