cart,Record Count
"{""coconut-1lb"":1}",2
"{""heart-set&ganache,ganache.pinkgold"":1,""peanut"":0,""pbj"":1}",1
"{""custom"":[{""title"":""Chocolate pudding ตกแต่ง Lady in Pink 2 ชั้นสีชมพู (ชั้นล่าง 1 ปอนด์ครึ่ง ชั้นบน 1 ปอนด์)"",""price"":3500,""quantity"":1,""id"":""ks75w8mgixp""}]}",1
"{""mayong-1lb"":1}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""fadfvwqj1to"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""custom"":[{""title"":""บูธ​"",""price"":0,""quantity"":1,""id"":""dzzgqq9igu""}]}",1
"{""cupc"":1,""deathchoc"":1,""redvelvet"":1}",1
"{""custom"":[{""title"":""2 tier chocolate​ pudding​ cake White and gold Flower Gold sign : Forty"",""price"":4500,""quantity"":1,""id"":""28qvm1su5cc""}]}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""v52hq4xhd9f"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}],""hella"":3,""redvelvet"":1,""banultimate~s"":0}",1
"{""soft"":[{""count"":""0"",""price"":180,""quantity"":1,""id"":""oycc1fasoar"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""banultimate~l"":1,""salt"":1,""mayong~s"":1}",1
"{""redvelvet"":1,""pbj"":1}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""vlx9kmsj30a"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""deathchoc"":3,""brownie"":[{""count"":""18"",""price"":640,""quantity"":2,""id"":""ouqezirwoi"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""carrot-1lb#flower"":1}",1
"{""mayong~s"":2}",1
"{""deathchoccake-1lb"":0,""deathchoc"":1}",1
"{""chocpudding-1lb"":1}",1
"{""cupc"":2,""hella"":1,""mayong~s"":3}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""f8jgrdy28k6"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":2,""MATCHA POWWOW"":2,""SEXY BACK"":2,""TRIPLE C"":2,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""salt"":1,""redvelvet"":3,""pbj"":2,""hella"":1,""cupc"":1}",1
"{""mayong~s"":2,""heart-S&redvelvet.pink"":1}",1
"{""cupccake-1lb"":1,""bannutella~s"":1}",1
"{""custom"":[{""title"":""1 lb red velvet *** lady in pink with flowers​***"",""price"":1800,""quantity"":1,""id"":""tkt0yvzvfs""}]}",1
"{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""zg2mj4dapq9"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""},{""count"":""9"",""price"":360,""quantity"":1,""id"":""cupkjsq3bbi"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}],""deathchoc"":4,""redvelvet"":1,""salt"":1}",1
