datetime,cart,Record Count
"Jun 23, 2021","{""pbj"":1,""cupc"":1,""redvelvet"":1,""salt"":1,""deathchoc"":1,""hella"":1}",1
"Jun 23, 2021","{""chocpudding-1lb#dearest"":1}",1
"Jun 23, 2021","{""deathchoccake-1lb"":0,""hella"":4,""deathchoccake-2lb"":1}",1
"Jun 23, 2021","{""loveislove&chocolate"":1,""loveislove&caramelly"":1,""loveislove&chococrunch"":1}",1
"Jun 23, 2021","{""custom"":[{""title"":""1 lb Choc pudding cake​*** lady in pink with flowersสีชมพู​ 02 *​**​"",""price"":1800,""quantity"":1,""id"":""de0zxhclvrm""}],""loveislove&doubletrouble,triplec,sexyback,mamaog,cereal,candy"":1}",1
"Jun 23, 2021","{""candy"":0,""cookie"":[{""count"":""12"",""price"":990,""quantity"":0,""id"":""5nsmuf6mseo"",""BABY OG"":4,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":4,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""},{""count"":""12"",""price"":990,""quantity"":1,""id"":""q6tc9f5nh8c"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":4,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":4,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"Jun 23, 2021","{""cookie"":[{""count"":""5"",""price"":450,""quantity"":0,""id"":""8j2rbozgw2q"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""},{""count"":""5"",""price"":450,""quantity"":1,""id"":""h95s13x5qst"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""candy"":0}",1
"Jun 23, 2021","{""deathchoc"":1}",1
"Jun 23, 2021","{""cake"":[{""count"":""8"",""price"":1660,""quantity"":1,""id"":""902shedqxpo"",""BANANA NUTELLA"":1,""VERY BERRY BASQUE CHEESECAKE"":0,""CARROT CREAM CHEESE"":1,""CHOCOLATE PUDDING"":1,""YOUNG COCONUT CAKE"":1,""FERRERO CHOCOLATE TART"":1,""STRAWBERRY KISS"":2,""BLACKOUT CHOCOLATE CAKE"":1,""extra"":"""",""title"":""Large box of 8""}]}",1
"Jun 23, 2021","{""coconut-1lb"":1,""kiss_slice"":1}",1
