datetime,cart,Record Count,total_price
"Jul 24, 2021","{""fat"":4}",1,645
"Jul 24, 2021","{""fat"":3,""cereal"":1}",1,595
"Jul 24, 2021","{""cupc"":1,""salt"":1,""hella"":1}",1,659
"Jul 24, 2021","{""salt"":1}",1,150
"Jul 24, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""e0vfxdzqnk"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}],""cereal"":2,""fat"":1}",1,750
"Jul 24, 2021","{""candy"":1,""fat"":2}",1,433
"Jul 24, 2021","{""coconut-1lb"":1}",1,1772
"Jul 24, 2021","{""icecream"":[{""count"":""6"",""price"":750,""quantity"":1,""id"":""ysdqkow3868"",""SINFUL SUNDAE"":0,""CEREAL KILLER"":2,""MILK CANDY"":0,""FAT KID FROYO"":4,""extra"":"""",""title"":""Icecream box of 6""}]}",1,750
"Jul 24, 2021","{""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""fzwlkdmt8up"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1,360
"Jul 24, 2021","{""hella"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""xkw1l4whb2n"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""kq7l5y69xp"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":9,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Double box of 18""}]}",1,1240
"Jul 24, 2021","{""care"":1}",1,1450
"Jul 24, 2021","{""fat"":2,""soft"":[{""count"":""0"",""price"":180,""quantity"":1,""id"":""i3u9q23v9t"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""salt"":1,""valrhona"":1}",1,740
"Jul 24, 2021","{""bancheese~s"":2,""banog~s"":2}",1,910
"Jul 24, 2021","{""fat"":3}",1,390
"Jul 24, 2021","{""deathchoc"":1}",1,228
"Jul 24, 2021","{""berry-2lb"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""796auny6f0a"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1,2679
