cart,Record Count
"{""chocpudding-1lb"":1}",24
"{""sundae"":2}",21
"{""coconut-1lb"":1}",18
"{""sundae"":1}",12
"{""kiss-1lb"":1}",11
"{""fat"":2}",10
"{""cereal"":1,""sundae"":1}",10
"{""deathchoccake-1lb"":1}",10
"{""sundae"":1,""cereal"":1}",9
"{""cereal"":1,""sundae"":1,""candy"":1}",9
"{""cereal"":2,""sundae"":2}",8
"{""sundae"":3}",8
"{""carrot-1lb"":1}",7
"{""hella"":1}",7
"{""cupccake-1lb"":1}",6
"{""heart-set&redvelvet,ganache.pinkgold"":1}",6
"{""cupc"":1}",5
"{""heart-S&redvelvet.pink"":1}",5
"{""candy"":1,""sundae"":1}",5
"{""sundae"":2,""cereal"":1}",4
"{""coconut-2lb"":1}",4
"{""chocpudding-1lb#dearest"":1}",4
"{""heart-S&ganache.pink"":1}",3
"{""cereal"":2}",3
"{""chocpudding-2lb"":1}",3
"{""heart-L&redvelvet.pink"":1}",3
"{""cereal"":3,""sundae"":1}",3
"{""sundae"":4}",3
"{""valrhona"":3}",3
"{""kiss-2lb"":1}",3
"{""blackout_slice"":1}",2
"{""pbj"":1}",2
"{""sundae"":6}",2
"{""sundae"":2,""candy"":1}",2
"{""cupc"":1,""hella"":1,""deathchoc"":1}",2
"{""sundae"":1,""fat"":1}",2
"{""hella"":1,""salt"":1}",2
"{""banana-1lb#dearest"":1}",2
"{""cereal"":1}",2
"{""deathcake"":1}",2
"{""cereal"":4,""sundae"":4,""candy"":4}",2
"{""care"":1}",2
"{""banultimate~l"":1}",2
"{""blackout-1lb"":1}",2
"{""sundae"":1,""cereal"":1,""candy"":1}",2
"{""heart-S&ganache.gold"":1}",2
"{""cereal"":6}",2
"{""cereal"":1,""sundae"":2}",2
"{""sundae"":1,""hella"":1}",2
"{""cereal"":1,""sundae"":1,""candy"":1,""hella"":1}",2
"{""deathchoccake-2lb"":1}",2
"{""mixedberry-1lb"":1}",2
"{""cereal"":1,""fat"":1}",2
"{""berry-1lb"":1}",2
"{""cereal"":2,""sundae"":2,""candy"":2}",2
"{""cereal"":2,""sundae"":1}",2
"{""salt"":1}",2
"{""hella"":1,""deathchoc"":1}",1
"{""cupccake-1lb"":1,""fat"":2}",1
"{""cereal"":0,""icecream"":[{""count"":""6"",""price"":750,""quantity"":2,""id"":""k90xjpx6b3"",""SINFUL SUNDAE"":0,""CEREAL KILLER"":6,""MILK CANDY"":0,""extra"":"""",""title"":""Icecream box of 6""}]}",1
"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""5syoidiff6t"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":2,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""pbj"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""a8v1o4e6vfi"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":0,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""fat"":1,""sundae"":1,""hella"":2,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""oq8w2by1aai"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":4,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""sundae"":2,""cereal"":2,""coconut_slice"":1}",1
"{""hella"":2,""salt"":1,""pbj"":1}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""cwu9c3h7wyn"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":3,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""coconut-1lb#dearest"":1,""hella"":1,""salt"":1}",1
"{""custom"":[{""title"":""1lb Chocolate Ganache "",""price"":1500,""quantity"":1,""id"":""7dfm59g3cr6""}],""sundae"":0,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""2ogaawskuwu"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":1,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""deathchoccake-1lb"":1,""deathchoccake-2lb"":0}",1
"{""cereal"":2,""bancheese~s"":1}",1
"{""valrhona"":2}",1
"{""fat"":10}",1
"{""banog~l"":1,""bannutella~s"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""uub4ne2nbhe"",""BAE BROWNIE"":4,""FUDGE BROWNIE BITES"":5,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""sundae"":1,""hella"":1,""bancheese~s"":1,""bannutella~s"":2,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""qg12kqp5tnm"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""grnykg0z5b8"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}],""deathcake"":1}",1
"{""sundae"":1,""cereal"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""s3bemeqh75"",""BAE BROWNIE"":5,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":1,""extra"":"""",""title"":""Small box of 9""}],""bancheese~s"":1}",1
"{""redvelvet"":2,""hella"":3,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""v966v5qubeg"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""blackout_slice"":0,""chocpudding_slice"":2,""sundae"":4}",1
"{""kiss-2lb"":1,""cupc"":1}",1
"{""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""i1y4901lxqi"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""valrhona"":1,""redvelvet"":1,""chocpudding-1lb"":1}",1
"{""fat"":1,""sundae"":1,""cupccake-1lb"":1}",1
"{""banana-2lb#flower"":1,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""ho86ibgrk7o"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""cake"":[{""count"":""8"",""price"":1640,""quantity"":1,""id"":""xs3aheooo6"",""BANANA NUTELLA"":0,""VERY BERRY BASQUE CHEESECAKE"":2,""CARROT CREAM CHEESE"":2,""CHOCOLATE PUDDING"":2,""YOUNG COCONUT CAKE"":2,""FERRERO CHOCOLATE TART"":0,""STRAWBERRY KISS"":0,""BLACKOUT CHOCOLATE CAKE"":0,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""heart-S&redvelvet.pink"":0,""heart-S&ganache.gold"":1}",1
"{""icecream"":[{""count"":""6"",""price"":750,""quantity"":1,""id"":""vw5z5bc03ds"",""SINFUL SUNDAE"":3,""CEREAL KILLER"":3,""MILK CANDY"":0,""extra"":"""",""title"":""Icecream box of 6""}]}",1
"{""custom"":[{""title"":""Strawberry cheesecake​ Icecream​"",""price"":130,""quantity"":1,""id"":""mxmocv5rs0n""},{""title"":""Nutella​ Icecream​"",""price"":130,""quantity"":1,""id"":""0cqxe8y3ii1""},{""title"":""Biscoff​ yogurt​ Icecream​"",""price"":130,""quantity"":1,""id"":""cxvidq3x9nk""},{""title"":""Mangosteen sorbet Icecream​"",""price"":130,""quantity"":1,""id"":""1r0eyxuxidb""}]}",1
