cart,Record Count
"{""cereal"":2}",95
"{""chocpudding-1lb"":1}",77
"{""coconut-1lb"":1}",75
"{""cereal"":4}",48
"{""heart-set&redvelvet,ganache.pinkgold"":1}",43
"{""kiss-1lb"":1}",42
"{""cereal"":3}",39
"{""heart-S&redvelvet.pink"":1}",29
"{""cereal"":1}",22
"{""heart-S&ganache.pink"":1}",22
"{""deathchoccake-1lb"":1}",22
"{""cereal"":6}",22
"{""sundae"":2}",21
"{""cupccake-1lb"":1}",21
"{""mixedberry-1lb"":1}",20
"{""hella"":1}",19
"{""banana-1lb"":1}",19
"{""coconut-2lb"":1}",19
"{""deathcake"":1}",17
"{""ferrero-1lb"":1}",17
"{""carrot-1lb"":1}",17
"{""chocpudding-1lb#dearest"":1}",16
"{""blackout-1lb"":1}",16
"{""cereal"":5}",16
"{""loveislove&chocolate"":1}",15
"{""berry-1lb"":1}",14
"{""heart-S&ganache.gold"":1}",14
"{""candy"":2}",14
"{""chocpudding-2lb"":1}",13
"{""care"":1}",13
"{""kiss-2lb"":1}",13
"{""cereal"":1,""candy"":1}",12
"{""sundae"":1}",12
"{""fat"":2}",11
"{""chocpudding-1lb#extraferrero"":1}",11
"{""deathchoc"":1}",10
"{""cereal"":1,""sundae"":1}",10
"{""cereal"":1,""sundae"":1,""candy"":1}",9
"{""banana-1lb#dearest"":1}",9
"{""cereal"":2,""candy"":2}",9
"{""sundae"":1,""cereal"":1}",9
"{""cupc"":1}",8
"{""cereal"":2,""sundae"":2}",8
"{""sundae"":3}",8
"{""cereal"":10}",8
"{""berry-2lb"":1}",7
"{""hella"":1,""salt"":1}",7
"{""redvelvet"":1}",7
"{""heart-L&redvelvet.pink"":1}",7
"{""valrhona"":3}",6
"{""cupc"":1,""hella"":1}",6
"{""cupc"":1,""redvelvet"":1}",6
"{""heart-L&ganache.pink"":1}",6
"{""banultimate~s"":1}",5
"{""banana-1lb#extraferrero"":1}",5
"{""candy"":1,""sundae"":1}",5
"{""cereal"":1,""hella"":1}",5
"{""deathchoccake-2lb"":1}",5
"{""valrhona"":2}",5
"{""hella"":1,""cupc"":1}",4
"{""cereal"":8}",4
"{""mixedberry-2lb"":1}",4
"{""cereal"":2,""bancheese~s"":1}",4
"{""chocpudding-2lb#extraferrero"":1}",4
"{""care"":1,""cereal"":0}",4
"{""pbj"":1,""hella"":1}",4
"{""blackout_slice"":1}",4
"{""cupccake-2lb"":1}",4
"{""valrhona"":1}",4
"{""salt"":1}",4
"{""sundae"":2,""cereal"":1}",4
"{""ferrero-2lb"":1}",4
"{""banana-2lb"":1}",4
"{""cupc"":1,""deathchoc"":1}",4
"{""coconut_slice"":1}",4
"{""hella"":2}",4
"{""loveislove&caramelly"":1}",4
"{""banultimate~l"":1}",4
"{""cereal"":1,""banultimate~s"":1}",4
"{""cereal"":1,""cupc"":1}",4
"{""hella"":1,""deathchoc"":1}",3
"{""cereal"":1,""pbj"":1}",3
"{""cupc"":2}",3
"{""kiss_slice"":1}",3
"{""hella"":3}",3
"{""cereal"":3,""sundae"":1}",3
"{""candy"":1}",3
"{""pbj"":1}",3
"{""pbj"":1,""cupc"":1}",3
"{""coconut-1lb#dearest"":1}",3
"{""peanut"":2}",3
"{""mixedberry-1lb"":1,""cereal"":2}",3
"{""redvelvet"":2}",3
"{""peanut"":1}",3
"{""bannutella~l"":1}",3
"{""bancheese~s"":1,""banultimate~s"":1}",3
"{""candy"":2,""cereal"":1}",3
"{""cereal"":4,""candy"":1}",3
"{""sundae"":4}",3
"{""cereal"":4,""candy"":4}",3
"{""cereal"":3,""candy"":3}",3
"{""cupc"":1,""hella"":1,""deathchoc"":1}",3
"{""salt"":1,""hella"":1}",3
"{""bancheese~s"":1}",2
"{""salt"":1,""blackout_slice"":1}",2
"{""cereal"":1,""sundae"":2}",2
"{""hella"":1,""redvelvet"":1}",2
"{""candy"":1,""cereal"":1}",2
"{""cupc"":1,""salt"":1}",2
"{""salt"":1,""deathchoc"":1}",2
"{""blackout_slice"":2}",2
"{""care"":2}",2
"{""hella"":4}",2
"{""berry-1lb#dearest"":1}",2
"{""sundae"":1,""fat"":1}",2
"{""cereal"":4,""hella"":1}",2
"{""hella"":1,""pbj"":1}",2
"{""sundae"":6}",2
"{""cupc"":3,""hella"":1}",2
"{""candy"":3}",2
"{""candy"":3,""cereal"":5}",2
"{""blackout-2lb"":1}",2
"{""valrhona"":4}",2
"{""berry_slice"":1,""coconut_slice"":1}",2
"{""cereal"":12}",2
"{""kiss-1lb#dearest"":1}",2
"{""hella"":1,""deathchoc"":1,""cupc"":1}",2
"{""sundae"":2,""candy"":1}",2
"{""cereal"":2,""hella"":1}",2
"{""cupc"":1,""pbj"":1}",2
"{""banultimate~l"":1,""banog~l"":1}",2
"{""sundae"":1,""hella"":1}",2
"{""cereal"":0,""care"":1}",2
"{""blackout-1lb#flower"":1}",2
"{""banultimate~s"":2}",2
"{""cereal"":2,""sundae"":2,""candy"":2}",2
"{""chocpudding-1lb#dearest"":0,""chocpudding-1lb"":1}",2
"{""chocpudding-1lb"":1,""cereal"":2}",2
"{""valrhona"":1,""peanut"":1}",2
"{""bannutella~s"":1}",2
"{""cereal"":3,""hella"":1}",2
"{""sundae"":1,""cereal"":1,""candy"":1}",2
"{""carrot-1lb#flower"":1}",2
"{""hella"":1,""cupc"":1,""deathchoc"":1}",2
"{""cereal"":1,""banog~s"":1}",2
"{""bancheese~l"":1}",2
"{""redvelvet"":1,""salt"":1}",2
"{""pbj"":2,""redvelvet"":1,""salt"":1}",2
"{""cereal"":2,""sundae"":1}",2
"{""cereal"":1,""fat"":1}",2
"{""cereal"":1,""coconut_slice"":1}",2
"{""bannuts~s"":2,""banog~s"":2}",2
"{""valrhona"":1,""blackout_slice"":1}",2
"{""blackout_slice"":1,""chocpudding_slice"":1}",2
"{""cereal"":1,""sundae"":1,""candy"":1,""hella"":1}",2
"{""banog~s"":1,""cupc"":1}",2
"{""cupc"":0,""cupccake-1lb"":1}",2
"{""cereal"":3,""pbj"":2}",2
"{""bannutella~s"":1,""cereal"":2}",2
"{""cupc"":1,""hella"":1,""salt"":1}",2
"{""heart-S&redvelvet.gold"":1}",2
"{""cereal"":4,""sundae"":4,""candy"":4}",2
"{""redvelvet"":1,""salt"":1,""hella"":2}",2
"{""chocpudding-2lb#dearest"":1}",2
"{""carrot-2lb"":1}",2
"{""loveislove&cornflakes,cornflakes,sexyback,sexyback,candy,cereal"":1}",2
"{""redvelvet"":1,""hella"":1}",1
"{""cereal"":4,""ferrero_slice"":1}",1
"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""v1x0a2nvqb"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":2,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""custom"":[{""title"":""Ice cream​"",""price"":0,""quantity"":2,""id"":""0fy2xslxrmi""}]}",1
"{""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""mzv0v5y6vjg"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}],""valrhona"":1}",1
"{""cereal"":3,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""85libnk6gqe"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":2,""MAMA OG"":3,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""jjy0cm49pj"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""pbj"":4,""hella"":4,""cupc"":1,""salt"":1,""redvelvet"":1,""deathchoc"":1,""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""4ne0msai0ov"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""1t8w8shor7d"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""hella"":1}",1
"{""bancheese~s"":1,""carrot_slice"":1}",1
"{""cupc"":1,""carrot_slice"":1,""chocpudding_slice"":1,""bancheese~s"":1}",1
"{""cereal"":3,""soft"":[{""count"":""0"",""price"":630,""quantity"":1,""id"":""k3urpsbs3ih"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":3,""MAMA OG"":2,""MATCHA POWWOW"":0,""SEXY BACK"":2,""TRIPLE C"":0,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""sundae"":2,""cupc"":1,""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""r8nfcqf2fri"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""4jtdwjds34q"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":1,""DOUBLE TROUBLE"":1,""MAMA OG"":2,""MATCHA POWWOW"":2,""SEXY BACK"":2,""TRIPLE C"":2,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""banana_slice"":1,""coconut_slice"":1}",1
"{""berry-1lb"":1,""deathchoc"":1}",1
"{""loveislove&chocolate"":1,""loveislove&caramelly"":1}",1
"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""qlf1od4buc"",""BAE BROWNIE"":2,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Large box of 8""}],""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""0l1qledriav"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":0,""SEXY BACK"":1,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""custom"":[{""title"":""Ice cream​"",""price"":0,""quantity"":2,""id"":""xfm3nmjx7pn""}]}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""3bj111ip0ft"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""r05ky2e0bke"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":4,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":1,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}],""candy"":0}",1
"{""redvelvet"":2,""cereal"":2,""bancheese~s"":1}",1
"{""custom"":[{""title"":""1​ lb​ Red​ velvet​ ตกแต่ง​แบบ​ Lady​ in​ pink​ สีชมพู​"",""price"":1800,""quantity"":1,""id"":""d71u8ewkr6p""}]}",1
"{""cookie"":[{""count"":""12"",""price"":990,""quantity"":1,""id"":""vn0q7donqui"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":2,""DOUBLE TROUBLE"":2,""MAMA OG"":2,""MATCHA POWWOW"":1,""SEXY BACK"":2,""TRIPLE C"":1,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Large box of 12""}]}",1
"{""banana-1lb"":0,""banana-2lb"":1}",1
"{""cereal"":1,""hella"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""9exyud702sl"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""icecream"":[{""count"":""6"",""price"":750,""quantity"":1,""id"":""bvbqudw3jxt"",""SINFUL SUNDAE"":2,""CEREAL KILLER"":2,""MILK CANDY"":2,""extra"":"""",""title"":""Icecream box of 6""}]}",1
"{""loveislove&sexyback,sexyback,cornflakes,cornflakes,candy,cereal"":1,""cupc"":1}",1
"{""cereal"":1,""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""bs0nq7aacr6"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":18,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""custom"":[{""title"":""Lady in pink 2 ชั้น สีชมพูอ่อน(แนบรูป) / ชั้นล่าง 2 ปอนด์ - banana nutella / ชั้นบน 1 ปอนด์ - strawberry kiss "",""price"":4500,""quantity"":1,""id"":""dj9xa18fmgr""}]}",1
"{""bancheese~l"":1,""banultimate~s"":1}",1
"{""banana_slice"":1,""carrot_slice"":1,""ferrero_slice"":1,""coconut_slice"":1,""berry_slice"":1}",1
"{""brownie"":[{""count"":""18"",""price"":640,""quantity"":1,""id"":""wgdpiavv31"",""BAE BROWNIE"":6,""FUDGE BROWNIE BITES"":6,""RED VELVET CREAM CHEESE BROWNIE BITES"":6,""extra"":"""",""title"":""Double box of 18""}]}",1
"{""ferrero_slice"":1,""pbj"":1,""candy"":3,""cereal"":1}",1
"{""custom"":[{""title"":""เค้กขนาด 1 ปอนด์ รสชาติ Red velvet ตกแต่งแบบ dearest flower "",""price"":1650,""quantity"":1,""id"":""ftphiio2cfm""}],""cereal"":0}",1
