cart,Record Count
"{""mayong-1lb"":1}",2
"{""banultimate~l"":1}",1
"{""mayong~l"":1,""giftboxcookie"":[{""count"":""5"",""price"":650,""quantity"":1,""id"":""hyfukpegn8f"",""BABY OG"":1,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":1,""MATCHA POWWOW"":1,""SEXY BACK"":1,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}],""mayong~s"":1}",1
"{""salt"":1,""deathchoc"":1}",1
"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""vntcrvtoa5r"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":3,""RED VELVET CREAM CHEESE BROWNIE BITES"":2,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""hella"":4}",1
"{""blackout_slice"":1,""bannuts~s"":1}",1
"{""heart-S&redvelvet.gold"":1}",1
"{""mayong~s"":0,""coconut_slice"":1,""berry_slice"":1}",1
"{""hella"":1,""bancheese~s"":1}",1
"{""bancheese~s"":1,""banultimate~s"":1,""bannutella~s"":1,""bannuts~s"":1,""banog~s"":2}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""fjnfvi2rouv"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":1,""MAMA OG"":4,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""custom"":[{""title"":""Chocolate Pudding 2lb ตกแต่ง Lady in Pink สีชมพูเข้ม"",""price"":2800,""quantity"":1,""id"":""debnu9klo1m""}]}",1
"{""bannutella~l"":1,""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""ajkw87efsxl"",""BAE BROWNIE"":2,""FUDGE BROWNIE BITES"":2,""RED VELVET CREAM CHEESE BROWNIE BITES"":4,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""kiss_slice"":1,""berry_slice"":1,""carrot_slice"":1,""blackout_slice"":1,""coconut_slice"":1}",1
"{""coconut-1lb#dearest"":1}",1
"{""heart-S&redvelvet.pink"":1}",1
