datetime,cart,Record Count,total_price
"May 31, 2021, 1:19:29 PM","{""mamaog"":1,""triplec"":1}",1,180
"May 31, 2021, 1:13:14 PM","{""doubletrouble"":1,""babyog"":1,""sexyback"":1,""matcha"":1}",1,360
"May 31, 2021, 1:05:54 PM","{""sexyback"":1}",1,90
"May 31, 2021, 12:52:37 PM","{""mamaog"":2}",1,180
"May 31, 2021, 12:33:33 PM","{""deathchoc"":1}",1,150
"May 31, 2021, 12:30:01 PM","{""doubletrouble"":1,""sexyback"":1}",1,180
"May 31, 2021, 12:05:53 PM","{""bancheese~s"":1}",1,150
"May 31, 2021, 12:05:49 PM","{""cornflakes"":1,""deathchoc"":1}",1,240
"May 31, 2021, 12:04:20 PM","{""hella"":1,""cupc"":1}",1,300
"May 31, 2021, 12:01:37 PM","{""babyog"":1}",1,90
"May 31, 2021, 11:58:51 AM","{""bae"":2,""redbrownie"":2,""fudge"":2}",1,240
"May 31, 2021, 11:42:39 AM","{""deathchoc"":1,""triplec"":1,""sexyback"":1}",1,330
"May 31, 2021, 11:40:29 AM","{""redvelvet"":1}",1,150
"May 31, 2021, 11:31:26 AM","{""pbj"":1}",1,150
"May 31, 2021, 11:23:37 AM","{""banog~s"":1}",1,130
"May 31, 2021, 11:02:07 AM","{""hella"":1,""redvelvet"":1,""salt"":1}",1,450
"May 31, 2021, 10:47:14 AM","{""doubletrouble"":1}",1,90
"May 31, 2021, 10:37:29 AM","{""sexyback"":1}",1,90
"May 31, 2021, 10:18:46 AM","{""hella"":1}",1,150
"May 31, 2021, 10:15:39 AM","{""babyog"":1,""cornflakes"":1,""matcha"":1}",1,270
"May 31, 2021, 10:15:23 AM","{""pbj"":1,""matcha"":1}",1,240
"May 31, 2021, 9:44:15 AM","{""cereal"":1,""banultimate~s"":1}",1,260
"May 31, 2021, 9:37:37 AM","{""salt"":1}",1,150
"May 31, 2021, 9:37:15 AM","{""cupc"":1}",1,150
"May 31, 2021, 9:37:09 AM","{""mamaog"":1}",1,90
"May 31, 2021, 9:32:45 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 31, 2021, 9:31:56 AM","{""cupc"":1}",1,150
"May 31, 2021, 9:13:55 AM","{""banultimate~s"":1}",1,130
"May 31, 2021, 9:09:01 AM","{""hella"":1,""redvelvet"":1}",1,300
"May 31, 2021, 9:05:24 AM","{""cupc"":1}",1,150
"May 31, 2021, 9:05:19 AM","{""sexyback"":1,""doubletrouble"":1,""redvelvet"":1}",1,330
"May 31, 2021, 9:02:34 AM","{""mamaog"":1,""babyog"":1}",1,180
"May 31, 2021, 9:01:16 AM","{""cupc"":1,""pbj"":1}",1,300
"May 31, 2021, 9:01:13 AM","{""cupc"":1,""pbj"":1}",1,300
"May 31, 2021, 8:32:38 AM","{""doubletrouble"":1}",1,90
"May 31, 2021, 8:02:43 AM","{""redvelvet"":1}",1,150
"May 31, 2021, 7:41:33 AM","{""mamaog"":2,""doubletrouble"":2,""babyog"":2,""triplec"":2,""sexyback"":2,""matcha"":2,""cornflakes"":2}",1,1170
"May 31, 2021, 7:36:21 AM","{""cornflakes"":1,""doubletrouble"":1,""mamaog"":1,""matcha"":1,""triplec"":1,""redvelvet"":1}",1,600
"May 31, 2021, 7:30:20 AM","{""babyog"":1,""doubletrouble"":1,""mamaog"":1,""sexyback"":1,""triplec"":1}",1,450
"May 31, 2021, 7:28:24 AM","{""hella"":2,""cupc"":2,""deathchoc"":2,""pbj"":2,""salt"":2,""redvelvet"":2,""bae"":3,""redbrownie"":3,""fudge"":3}",1,2160
"May 31, 2021, 7:17:22 AM","{""matcha"":1,""triplec"":1,""deathchoc"":1,""cupc"":1}",1,480
"May 31, 2021, 6:51:01 AM","{""doubletrouble"":1,""matcha"":2}",1,270
"May 31, 2021, 6:46:03 AM","{""sexyback"":1}",1,90
"May 31, 2021, 6:16:49 AM","{""mamaog"":1}",1,90
"May 31, 2021, 6:16:36 AM","{""cornflakes"":1,""hella"":1}",1,240
"May 31, 2021, 5:55:23 AM","{""fudge"":3,""bae"":3,""redbrownie"":3}",1,360
"May 31, 2021, 5:42:54 AM","{""cornflakes"":2,""babyog"":2,""sexyback"":1}",1,450
"May 31, 2021, 5:26:22 AM","{""doubletrouble"":1}",1,90
"May 31, 2021, 5:26:15 AM","{""bae"":3,""redbrownie"":3,""fudge"":3}",1,360
"May 31, 2021, 4:48:37 AM","{""sexyback"":1,""babyog"":1}",1,180
"May 31, 2021, 4:38:17 AM","{""doubletrouble"":1,""mamaog"":1,""matcha"":1,""sexyback"":1,""triplec"":1,""giftbox"":1}",1,650
"May 31, 2021, 4:20:44 AM","{""matcha"":1}",1,90
"May 31, 2021, 3:10:31 AM","{""fudge"":5,""bae"":2,""redbrownie"":2}",1,360
"May 30, 2021, 1:05:05 PM","{""salt"":1,""sexyback"":1}",1,240
"May 30, 2021, 12:56:36 PM","{""cornflakes"":1,""sexyback"":1}",1,180
"May 30, 2021, 12:52:31 PM","{""banultimate~s"":1}",1,130
"May 30, 2021, 12:51:47 PM","{""mamaog"":1,""sexyback"":1,""triplec"":1,""cornflakes"":1,""matcha"":1}",1,450
"May 30, 2021, 12:37:56 PM","{""fudge"":9}",1,360
"May 30, 2021, 12:24:28 PM","{""banog~s"":1}",1,130
"May 30, 2021, 12:23:06 PM","{""pbj"":1,""redvelvet"":1}",1,300
"May 30, 2021, 12:22:54 PM","{""mamaog"":1,""matcha"":1}",1,180
"May 30, 2021, 12:22:45 PM","{""triplec"":1}",1,90
"May 30, 2021, 12:12:32 PM","{""matcha"":1}",1,90
"May 30, 2021, 12:08:43 PM","{""hella"":1,""cupc"":1,""cornflakes"":1}",1,390
"May 30, 2021, 11:59:57 AM","{""matcha"":1,""mamaog"":1,""deathchoc"":1}",1,330
"May 30, 2021, 11:58:15 AM","{""sexyback"":1}",1,90
"May 30, 2021, 11:57:19 AM","{""cornflakes"":2}",1,180
"May 30, 2021, 11:55:23 AM","{""cornflakes"":3}",1,270
"May 30, 2021, 11:55:11 AM","{""mamaog"":2,""matcha"":2,""doubletrouble"":1,""fudge"":1}",1,490
"May 30, 2021, 11:54:39 AM","{""cupc"":1,""mamaog"":1,""fudge"":1}",1,280
"May 30, 2021, 11:54:09 AM","{""mamaog"":1,""sexyback"":1}",1,180
