cart,Record Count
"{""chocpudding-1lb"":1}",36
"{""coconut-1lb"":1}",26
"{""sundae"":2}",21
"{""kiss-1lb"":1}",13
"{""sundae"":1}",12
"{""heart-set&redvelvet,ganache.pinkgold"":1}",12
"{""deathchoccake-1lb"":1}",10
"{""heart-S&redvelvet.pink"":1}",10
"{""cereal"":1,""sundae"":1}",10
"{""fat"":2}",10
"{""cereal"":1,""sundae"":1,""candy"":1}",9
"{""sundae"":1,""cereal"":1}",9
"{""hella"":1}",9
"{""cereal"":2,""sundae"":2}",8
"{""chocpudding-1lb#dearest"":1}",8
"{""sundae"":3}",8
"{""cereal"":2}",8
"{""care"":1}",8
"{""loveislove&chocolate"":1}",8
"{""cupccake-1lb"":1}",7
"{""banana-1lb"":1}",7
"{""carrot-1lb"":1}",7
"{""cupc"":1}",6
"{""valrhona"":3}",6
"{""heart-S&ganache.pink"":1}",6
"{""cereal"":3}",6
"{""coconut-2lb"":1}",6
"{""cereal"":1}",6
"{""heart-S&ganache.gold"":1}",6
"{""chocpudding-2lb"":1}",5
"{""berry-1lb"":1}",5
"{""candy"":1,""sundae"":1}",5
"{""kiss-2lb"":1}",4
"{""chocpudding-1lb#extraferrero"":1}",4
"{""loveislove&caramelly"":1}",4
"{""deathcake"":1}",4
"{""berry-2lb"":1}",4
"{""sundae"":2,""cereal"":1}",4
"{""valrhona"":2}",4
"{""ferrero-2lb"":1}",3
"{""mixedberry-1lb"":1}",3
"{""salt"":1}",3
"{""pbj"":1,""hella"":1}",3
"{""cupc"":1,""hella"":1,""deathchoc"":1}",3
"{""cereal"":3,""sundae"":1}",3
"{""hella"":1,""deathchoc"":1}",3
"{""heart-L&redvelvet.pink"":1}",3
"{""banultimate~l"":1}",3
"{""hella"":1,""salt"":1}",3
"{""banana-1lb#dearest"":1}",3
"{""cereal"":6}",3
"{""sundae"":4}",3
"{""blackout-1lb"":1}",3
"{""hella"":2}",2
"{""sundae"":1,""hella"":1}",2
"{""hella"":3}",2
"{""cereal"":1,""sundae"":1,""candy"":1,""hella"":1}",2
"{""cereal"":1,""sundae"":2}",2
"{""pbj"":1}",2
"{""redvelvet"":1,""salt"":1}",2
"{""cereal"":2,""sundae"":2,""candy"":2}",2
"{""salt"":1,""hella"":1}",2
"{""heart-L&ganache.pink"":1}",2
"{""cupccake-2lb"":1}",2
"{""sundae"":6}",2
"{""loveislove&cornflakes,cornflakes,sexyback,sexyback,candy,cereal"":1}",2
"{""care"":1,""cereal"":0}",2
"{""cereal"":4,""sundae"":4,""candy"":4}",2
"{""deathchoc"":1}",2
"{""valrhona"":4}",2
"{""deathchoccake-2lb"":1}",2
"{""sundae"":1,""fat"":1}",2
"{""blackout_slice"":1}",2
"{""blackout-2lb"":1}",2
"{""cereal"":2,""sundae"":1}",2
"{""cupc"":2}",2
"{""ferrero-1lb"":1}",2
"{""candy"":3,""cereal"":5}",2
"{""sundae"":1,""cereal"":1,""candy"":1}",2
"{""peanut"":2}",2
"{""redvelvet"":1,""salt"":1,""hella"":2}",2
"{""redvelvet"":1}",2
"{""bannutella~l"":1}",2
"{""cereal"":1,""cupc"":1}",2
"{""blackout_slice"":2}",2
"{""sundae"":2,""candy"":1}",2
"{""cereal"":1,""candy"":1,""berry_slice"":1,""brownie"":[{""count"":""9"",""price"":360,""quantity"":1,""id"":""oi3yjubk53g"",""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":9,""extra"":"""",""title"":""Small box of 9""}]}",1
"{""valrhona"":3,""peanut"":1}",1
"{""giftboxbrownie"":[{""count"":""8"",""price"":520,""quantity"":1,""id"":""5syoidiff6t"",""BAE BROWNIE"":3,""FUDGE BROWNIE BITES"":2,""RED VELVET CREAM CHEESE BROWNIE BITES"":3,""extra"":"""",""title"":""Large box of 8""}]}",1
"{""cupc"":1,""peanut"":1,""banultimate~s"":1}",1
"{""hella"":2,""salt"":1,""pbj"":1}",1
"{""cereal"":1,""cupc"":2}",1
"{""custom"": [{""title"": ""Icecream\\u200b Sinful Sundae"", ""price"": 130, ""quantity"": 0, ""id"": ""hn3j4d714t8""}], ""sundae"": 6}",1
"{""cookie"":[{""count"":""5"",""price"":450,""quantity"":1,""id"":""cwu9c3h7wyn"",""BABY OG"":2,""CORNFLAKE MARSHMALLOW"":3,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Small box of 5""}]}",1
"{""custom"":[{""title"":""1lb Chocolate Ganache "",""price"":1500,""quantity"":1,""id"":""7dfm59g3cr6""}],""sundae"":0,""soft"":[{""count"":""0"",""price"":90,""quantity"":1,""id"":""2ogaawskuwu"",""BABY OG"":0,""CORNFLAKE MARSHMALLOW"":0,""DOUBLE TROUBLE"":0,""MAMA OG"":0,""MATCHA POWWOW"":0,""SEXY BACK"":0,""TRIPLE C"":1,""BAE BROWNIE"":0,""FUDGE BROWNIE BITES"":0,""RED VELVET CREAM CHEESE BROWNIE BITES"":0,""PISTACHIO CRANBERRY"":0,""MRS CLAUS OATMEAL COOKIE"":0,""extra"":"""",""title"":""Soft cookies""}]}",1
"{""cereal"":0,""icecream"":[{""count"":""6"",""price"":750,""quantity"":2,""id"":""k90xjpx6b3"",""SINFUL SUNDAE"":0,""CEREAL KILLER"":6,""MILK CANDY"":0,""extra"":"""",""title"":""Icecream box of 6""}]}",1
"{""deathchoccake-1lb"":1,""deathchoccake-2lb"":0}",1
